მეერთისა	Pantokrator
ჯაჭჳსმოქმედ-ი	Waffenhersteller
ჴბოვრედ-ი	Kalbs-, mit einem Kalb
სამქორედ-ი	drittes Stockwerk
ოქროაღჳრედ-ი	mit goldenem Zaumzeug
მკედისნაწყუედ-ი	Fadenstück
სამშუედ-ი	Busch einer Pflanze mit drei zusammenstehenden Dornen, Tribolos
რიცხუედ-ი	Gezähltes, rhythmische Sprache
ქედ-ქედ-ი	großer Berg
ოქრობეჭედ-ი	goldener Ring
ადგიდ-ადგიდ-ი	Stellen, Orte
მუცელდიდ-ი	Großbäuchiger
კეთილდიდ-ი	reich, voller Güte
სხეულდიდ-ი	von großem Körperbau
სკალიდ-ი	Spaten
ყრმიდ-ი	junge Frau
ქლანიდ-ი	Chlamys; Chlamys
სფჳრიდ-ი	Korb
სამარიტიდ-ი	Samariterin
ავანდ-ი	Gesetz, Tradition
მეჰევანდ-ი	Halskette, Kette; Ring
ერებინდ-ი	Erbse
თანაგუნდ-ი	Gruppenkamerad
ხლამჳნდ-ი	Chlamys
მგუერდ-ი	Seite, Hang; Maß; Rippe
მგრძნებავ-ი	Zauberer
პორფირისმღებავ-ი	Rotfärber
ანბავ-ი	Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
ჰანბავ-ი	Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
ურთავ-ი	Torflügel
ერისთავთ-ერისთავ-ი	Oberster Heerführer (georg. Titel)
დასისთავ-ი	Militärführer, Chorleiter
სუეტისთავ-ი	Kapitell
წყაროჲსთავ-ი	Quelle
კუროჲსთავ-ი	Dornstrauch
თთჳსთავ-ი	Monatsbeginn
კუროჲთავ-ი	Dornstrauch; Dornstrauch
მზუელავ-ი	Schauspieler, Nachahmer
ნაღელავ-ი	Welle, Woge
თუალთსაოლავ-ი	Augentusche
ვასკულავ-ი	Stern; Stern
მოჭრტინავ-ი	Kläger
მიმომწლონავ-ი	Ausführender eines Gerichtsurteils; umherlungernd
მოდრტჳნავ-ი	Kläger
ზოპავ-ი	Ysop; Weihwedel
მზოპავ-ი	Lügner, Prahler
თუალჟივჟავ-ი	mit scheckigen Augen
მჰაზრავ-ი	Wahrsager
მრგულიადშესაწირავ-ი	Opfer
ფასისშესაწირავ-ი	Geldopfer
თავუბურავ-ი	mit unverhülltem Kopf
უცხონათესავ-ი	Ausländer, Fremdstämmiger
ნალესავ-ი	Rückstand vom Schleifen
წიგნისტყავ-ი	Pergament
თხისტყავ-ი	Jacke aus Ziegenfell
ხილისსაცავ-ი	Zelt / Hütte der Obsthüter
ფასისსაცავ-ი	Vorratslager
ულოცავ-ი	ohne Gebet
შემომზრახავ-ი	Besprecher
ქალდევ-ი	Chaldäer, chaldäischer Priester
ნაცოდევ-ი	Sünde
მკურისკევ-ი	Harz
ნაკაცევ-ი	ehemaliger Mensch
წურილმოქცევ-ი	Komma, Beistrich
შჳდეულისმოქცევ-ი	Woche
მჴევ-ი	Schlucht, Tal; Schlucht, Tal
მკლველებრივ-ი	Mörder-
მონებრივ-ი	Sklaven-, Diener-
ჰაერებრივ-ი	luftig, Luft-
პირუტყუებრივ-ი	tierisch, wie Nichtsprechende; tierisch, wie Nichtsprechende
მეუფებრივ-ი	Reich, Königreich
ერისკაცობრივ-ი	bürgerlich, Bürger-
სწორპატივ-ი	gleiche Verehrung, gleiche Würde
კუვ-ი	Schildkröte; Schildkröte
ზეეზ-ი	kostbarer Stoff, Byssos
სპანქრეზ-ი	Brötchen
ქარტეზ-ი	Pergament
მჴეცთევზ-ი	Raubfisch, Fischbestie
ფარაოზ-ი	Leuchtturm
სინგელოზ-ი	Synkellos, Helfer oder Stellvertreter eines kirchlichen Würdenträgers
ფანოზ-ი	große Leuchte; große Leuchte
სჳნდიკნოზ-ი	Mutter des getauften Kindes
კჳპაროზ-ი	Zypresse; Zypresse
სინკლიტოზ-ი	Senat(smitglied)
ანდერზ-ი	Vermächtnis; Vorwort, Nachwort, Zusatz; Vermächtnis; Vorwort, Nachwort, Zusatz
ნათ-ი	Licht
სასარკინოზეთ-ი	Arabien
მაკედონიეთ-ი	Makedonier
აღმოსავალეთ-ი	Osten
სიკარეთ-ი	Räuber
ზოგებით-ი	teilweise, Teil-
თუალმორიდებით-ი	mit schlechtem Augenlicht
ქალწულებით-ი	ohne Gatten
თესლოვანებით-ი	Samen-
თესლოვნებით-ი	Samen-; Samen-
მონაზონებით-ი	Mönch-, Nonnen-
მეუდაბნოებით-ი	Eremiten-
ძმათმოყუარებით-ი	Bruderliebes-
მოღუაწებით-ი	Fürsorge-, Betreuungs-
შობისდღითობით-ი	Geburtstags-
მკურნალობით-ი	Arzt-, ärztlich, Heil-
მღერალობით-ი	zur Unterhaltung
თჳთმხილველობით-ი	Augenzeugen-
სადღესასწაულობით-ი	Feiertags-
მოსაჯულობით-ი	Anklage-
სამღდელოობით-ი	Priester-
სასძლოობით-ი	Lobpreisung der Muttergottes
მღდელთმთავრობით-ი	Bischofs-
თანამოსუმურობით-ი	Zech-
მწყემსობით-ი	Hirten-
თანაგანმზრახობით-ი	ratgeberisch, Verhandlungs-
დასავალით-ი	Westen
აღმოსავლით-ი	Osten; Osten
სასთუნლით-ი	Kopfseite
სიყუარულით-ი	Liebes-
ცოდვისაძლით-ი	Opfer zur Vergebung der Sünden
ჯმნით-ი	Abschiedsgruß
სომხით-ი	Armenien; Armenien
ფსანთ-ი	Bastmatte; Bastmatte
აფსინთ-ი	Wermut; Wermut
ელამოთ-ი	Vorraum (der Kirche)
სახარებისამიმართ-ი	Evangelien-
მომართ-ი	Frage
ევფუთ-ი	Priestergewand; Priestergewand
სიტყჳთ-ი	mit Worten, in Worten
ტრედაკ-ი	Täubchen
ჰროარდაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
გოზაკ-ი	Becher; Becher
ნიგუზაკ-ი	nußförmig(e Schale); nußförmig(e Schale)
ხარტოფილაკ-ი	Bibliothekar; Bibliothekar
დისწულაკ-ი	kleiner Neffe, kleine Nichte
ძმისწულაკ-ი	kleiner Neffe, kleine Nichte
ყრმაკ-ი	Kleinkind, Kindchen
ჰეშმაკ-ი	Teufel, Satan, böser Geist, Dämon; Teufel, Satan, böser Geist, Dämon
პალატ-ბანაკ-ი	Königshof
წუენაკ-ი	Süppchen
ტომარაკ-ი	Handschriftenkodex; Beutel, Sack
ჰურაკპარაკ-ი	Platz, Straße
სტავრაკ-ი	ein kostbarer Stoff, Brokat
სტჳრაკ-ი	Gummi(baum)
ჰროვარტაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
ჰროარტაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
შოშაკ-ი	Trense
თანამუშაკ-ი	Mitarbeiter
კუარცხბეკ-ი	Podest, Schemel; Podest, Schemel
სპონდიკ-ი	leichter Baustein
უჟიკ-ი	Meder
არქიმანდრიკ-ი	Klostervorsteher, Abt, Archimandrit; Klostervorsteher, Abt, Archimandrit
პავასიკ-ი	Beutel, Tasche
პაჲვასიკ-ი	Beutel, Tasche
მუსიკ-ი	Musiker
დალმატიკ-ი	ärmelloser Chiton
ლეკტიკ-ი	Sänfte, Trage
უფფიკ-ი	Dienst, Aufgabe, Offizium
საბერკ-ი	Strauch, Hecke
კუარცხბერკ-ი	Podest, Schemel; Podest, Schemel
ჭაპუკ-ი	Jugendliche(r), Jüngling; Jugendliche(r), Jüngling
ზედამიმავალ-ი	Angreifer
შინაგანმავალ-ი	Nahestehender, Getreuer
ქუეშეწარმავალ-ი	unten kriechend, Kriechtier
თანწარმავალ-ი	Reisender
მზისდასავალ-ი	Sonnenuntergang, Westen
წინაშესავალ-ი	Vorwort
წიაღმოსავალ-ი	Ausgang aus dem Wasser
მზისაღმოსავალ-ი	Sonnenaufgang, Osten
მურკნვალ-ი	Wäscher, Reiniger, Walker; Wäscher, Reiniger, Walker
დღესაშოვალ-ი	Mittag; Mittag
ჴამლისმკერვალ-ი	Schuhmacher
საჭითმხერვალ-ი	Steuermann
თანამცორვალ-ი	Leibwächter
წინამცორვალ-ი	Bote
თანაწარმცორვალ-ი	Leibwächter
თანამცურვალ-ი	Mitreisender zu Schiff
დღესაშუვალ-ი	Mittag
მთავარმზრახვალ-ი	Oberratgeber
უნჯაკალ-ი	Verwalter, Kellermeister
ოთხეკალ-ი	Dornenstrauchart
მოსაჴსენებელთმწერალ-ი	Testamentsschreiber
სიმიაჲთმწერალ-ი	Chronist
შჯულისმწერალ-ი	Gesetzeskundiger, Gesetzesschreiber
წიგნისმწერალ-ი	Schreiber
ანდერძისმწერალ-ი	Abschreiber
საგუსალ-ი	Gewebe, Faden
მზისთუალ-ი	Sonne
ურმისთუალ-ი	Rad
ნარისუალ-ი	Schurwolle
ჴორც-ძუალ-ი	Fleisch und Knochen
ზურგისძუალ-ი	Rückgrat, Wirbelsäule
პილოჲსძუალ-ი	Elfenbein
დეოფალ-ი	Königin, Herrin; Königin, Herrin
დიოფალთ-დიოფალ-ი	Königin der Königinnen
პურისა უფალ-ი	Tischherr
დეუფალ-ი	Königin, Herrin; Königin, Herrin
ნავისუფალ-ი	Schiffsbesitzer
პურისუფალ-ი	Tischherr
სეფექალ-ი	Magd am Königshof; Hofdame
ზღჳსქალ-ი	Meerjungfrau
სავაღალ-ი	Faden, Netz
ნაბერწყალ-ი	Funke
თანასძალ-ი	Schwägerin
მარილმხალ-ი	eine Art Gemüse
ნაკუარცხალ-ი	Glut, brennende Kohle
თხრებლ-ი	Grube, Graben; Grube, Graben
ზომთსაბელ-ი	Maßband, Seil
ჴამლისსაბელ-ი	Schnürsenkel
მანქანისსაბელ-ი	Strick, Seil einer Vorrichtung
თანამნებებელ-ი	Bundesgenosse, Verbündeter
წინამქადაგებელ-ი	Prophet
წინაჲსწარმქადაგებელ-ი	Prophet
ოქროსაგებელ-ი	goldenes Bett
სიტყჳსსაგებელ-ი	Antwort-, Entgegnung
თანადამბადებელ-ი	Mitschöpfer
ღაღადისმგდებელ-ი	Nachrichtenübermittler, Bote
სახელისმდებელ-ი	Namensgeber
რჩულისმდებელ-ი	Gesetzgeber; Gesetzgeber
შჯულისმდებელ-ი	Gesetzgeber; Gesetzgeber
საბუდებელ-ი	Nest
ზეგარდამოსატევებელ-ი	herabzulassend; Wasserfall
წინასაკუეთებელ-ი	Küste
ნავისმართებელ-ი	Steuermann
სიტყჳსგამომეძიებელ-ი	Diskussionsgegner
შურისმეძიებელ-ი	Rächer
საბრალებელ-ი	Verbrecher, Anzuklagender, Erbarmungswürdiger
მაჩივლებელ-ი	Angeklagter
შეუფარილებელ-ი	ohne Haar, ohne Fell
განუმხილებელ-ი	Geheimnis
მწიგნობართშემყვანებელ-ი	Schriftsekretär
წერილისშემომყვანებელ-ი	Schriftgelehrter, Gesetzesgelehrter
მთარგმანებელ-ი	Erklärer, Kommentator
ნაწილისშთასასუენებელ-ი	Reliquienschrein
განსაშუენებელ-ი	Schmuck
სინანულისამჩუენებელ-ი	Bereuender, Reumütiger
ისრისსაყენებელ-ი	Bollwerk
ნავისმაშენებელ-ი	Schiffbauer
გოდლისმაშენებელ-ი	Turmerbauer
საპოვნებელ-ი	zu findend, Verzeichnis
გასაკუთნებელ-ი	Eigentum
დედისმაგინებელ-ი	Beschämer der Mutter
მამისმაგინებელ-ი	beschämend / Schande für den Vater
სადინებელ-ი	Rinnsal, Rinne
ნავისმავლინებელ-ი	Steuermann
აღსაორძინებელ-ი	Erzieher
აღუორძინებელ-ი	ohne Hinzufügung
საქორწინებელ-ი	Hochzeits-
წინააღმდგომობისმქონებელ-ი	Gegner
შესაცხუნებელ-ი	glutheißer Ort
ქარისმოსაფარებელ-ი	Windschutz
მსერებელ-ი	Esser
სამწერებელ-ი	langstieliger Fächer
ხარკისმკრებელ-ი	Steuereintreiber
თესლისმკრებელ-ი	Schwätzer
წყლისმკრებელ-ი	Wasserträger
ჰომისმკრებელ-ი	Abtrünniger, Aufständischer
მსტუმრებელ-ი	Gastgeber
თანამცხორებელ-ი	zusammenlebend, Gatte, Gattin
საფანდურებელ-ი	Panduri
წიგნისმიმღებელ-ი	Briefbote
ქვისსატყორცებელ-ი	Steinschleudervorrichtung; Steinschleudervorrichtung
მზრახებელ-ი	beratend, Berater
მავასხებელ-ი	Geldverleiher
სავასხებელ-ი	Kredit
საწდობელ-ი	Amboß
სანათობელ-ი	Leuchte, Lämpchen
მსახიობელ-ი	Gaukler
წინამგალობელ-ი	Vorsänger
ღმრთისმგალობელ-ი	Gottesverehrer, Gottesverherrlicher
უგალობელ-ი	Melodielosigkeit
სანათლობელ-ი	Fenster, Lichtöffnung
ცჳლისმადნობელ-ი	Wachsschmelzer
სარკინობელ-ი	Ringkampfstätte
თანამსერობელ-ი	Abendbrottischgenosse
სამსტურობელ-ი	Ausguck, Beobachtungsort
ჴელისსაპყრობელ-ი	in der Hand zu haltend; Schwert; in der Hand zu haltend; Schwert
მერთისა მპყრობელ-ი	Pantokrator; Pantokrator
სოფლისმპყრობელ-ი	Landesherrscher, Provinzherrscher
საყდრისმპყრობელ-ი	Bischof
წინაგანსაწყობელ-ი	Kampfes-
ღმრთიმშობელ-ი	Muttergottes; Muttergottes
ღმრთისმშობელ-ი	Muttergottes
მბჭობელ-ი	Richter
ჴდალთმდრანჯობელ-ი	geil auf ein Weibchen
ჴდალთმნდრანჯობელ-ი	geil auf ein Weibchen; geil auf ein Weibchen
დუბელ-ი	Schüttelfrost
ჩარადელ-ი	Pickel, Eiterbläschen
ყურგდელ-ი	Hase; Hase
ვეცხლისმჭედელ-ი	Silberschmied
ოქროჲსმჭედელ-ი	Goldschmied
ზღჳსკიდელ-ი	Bewohner der Meeresküste
გამსყიდელ-ი	Verkäufer
განმსყიდელ-ი	Verkäufer, Händler
მომსყიდელ-ი	Käufer
კერმისმსყიდელ-ი	Kupfergeldwechsler
კაცისმსყიდელ-ი	Menschenhändler
წარსაწყმენდელ-ი	zu verlierend, zu vernichtend, Verderben; zu verlierend, zu vernichtend, Verderben
შეშისმკოდელ-ი	Holzfäller
ჩჩჳლთმზრდელ-ი	Säuglingserzieherin
ცხოვართმზრდელ-ი	Schafhirt, Viehhirt
საცხოვართმზრდელ-ი	Viehzüchter
საცხოვრისმზრდელ-ი	Viehhirt, Schafhirt
მყუდელ-ი	Wächter, Beschützer
არამღდელ-ი	Nichtpriester
მთავარმღდელ-ი	Oberpriester, Presbyter
ყურყდელ-ი	Hase; Hase
ხარკისმიმჴდელ-ი	Steuereintreiber
ხარკისმომჴდელ-ი	Steuereintreiber
საჴნველისმზიდველ-ი	Pflugzieher
წინამცოდველ-ი	früherer Sünder
ეტლთმარბეველ-ი	Teilnehmer am Wagenrennen
აბჯრისდამაბნეველ-ი	Waffenverlierer, Waffenstrecker
სარეველ-ი	Steuer
გულისსარეველ-ი	Unkraut
საქმისმაწუეველ-ი	zur Arbeit aufrufend, Aufseher
თავისსახუეველ-ი	Kopftuch
თანაგამომრჩეველ-ი	Ratgeber, Berater
თუალთა მაქცეველ-ი	Zauberer, Hexer
წისქჳლისმაქცეველ-ი	Mühlraddreher
სიტყჳსუკუნმქცეველ-ი	Diskussionsgegner
ღუედისმხეველ-ი	Lederbearbeiter
ტყავისმხეველ-ი	Fellschneider
ტაბაკისმთხზველ-ი	Pfannenmacher
სელისმრთველ-ი	Flachsspinner
მნათლველ-ი	taufend, Täufer
თუალითმხილველ-ი	Augenzeuge
თანაგანმხილველ-ი	Gewissen
წინაჲსწარმხილველ-ი	Hellseher
ჩუენებისმხილველ-ი	Traumseher
ძმათმკლველ-ი	Brudermörder
თჳთმკლველ-ი	Selbstmörder
კაცისმკლველ-ი	Mörder
მენელსაცხებლეთმგბოლველ-ი	Salben-, Tinkturen-, Spezereienkocher
საცხებლისმგბოლველ-ი	Salbenzubereiter
ნელსაცხებლისმგბოლველ-ი	Arzneizubereiter
საგულველ-ი	Wunsch
მჴედართმძღუანველ-ი	Feldherr; Feldherr
საფლავისმტყუენველ-ი	Grabräuber
სამუნველ-ი	zur Beseitigung der Krätze
დასასტჳნველ-ი	Blasinstrument
შესაბრძჳნველ-ი	Verschluß (der Kleidung)
სელისმქსოველ-ი	Leinweber
მისათხოველ-ი	Braut
წარმპარველ-ი	Dieb, Räuber
წინასაფარველ-ი	zu bedeckend, Schutz-
პირისსაფარველ-ი	Schleier
მკერველ-ი	nähend, Schneider; nähend, Schneider
ნავისსახერველ-ი	Schiffssteuer
თავუბურველ-ი	mit unverhülltem Kopf
შფოთისაღმძრველ-ი	Aufrührer, Aufständischer
გარემოსათესველ-ი	Feld
თავუპარსველ-ი	mit unrasiertem Kopf
კართსაჴსველ-ი	Schloß
ბაგინისმძარცუველ-ი	Plünderer eines heidnischen Tempels
სამარისმძარცუველ-ი	Grabräuber
ყოვლადდასაწუველ-ი	ganz zu verbrennendes Opfer
მრეშველ-ი	Holzhacker
მესაპყრობილეთმცველ-ი	Gefängniswärter
კართმცველ-ი	Türwächter, Pförtner
მთავარმცველ-ი	Wachtmeister
ტაძრისმცველ-ი	Palastwächter
გარემოჲსმცველ-ი	Leibwächter
მძუარცველ-ი	Räuber
ცილისმფუცველ-ი	Meineidiger
საფუნძველ-ი	Grundlage, Fundament; Grundlage, Fundament
მუხუნძველ-ი	Seidenraupe
საფურძველ-ი	Grundlage, Fundament; Grundlage, Fundament
სიწმიდეთმკრეხველ-ი	Plünderer von Heiligtümern
სამღდელოთმკრეხველ-ი	Entwender von Kirchengut, diebischer Priester
ულუკთმკითხველ-ი	Wahrsager
წიგნისმკითხველ-ი	Vorlesender (in der Liturgie)
სამოთხველ-ი	Ort zum Spazierengehen
სამარხველ-ი	aufzubewahrend, zu behütend; Grab; aufzubewahrend, zu behütend; Grab
სჯულისმმარხველ-ი	Gesetzeshüter
შჯულისმმარხველ-ი	Gesetzeshüter
მარმარილოჲსმხერხველ-ი	Marmorbearbeiter
საწურთელ-ი	Lehr-, zu lehrend, Schule
სიბრძნისსაწურთელ-ი	Weisheitsschule
ყრმათმწურთელ-ი	Lehrer, Pädagoge
ჩჩჳლთმწურთელ-ი	Säuglingserzieherin
კიცუთმწურთელ-ი	Fohlenabrichter
ურვიელ-ი	in Not / Bedrängnis
სიკარიელ-ი	Räuber
პონტიელ-ი	Mann / Frau vom Pontos
ქვისსათლელ-ი	Vorrichtung zur Steinbearbeitung
თანამჭამელ-ი	Tischgenosse
უჟამოდმჭამელ-ი	Vielfraß
სოფლისშემჭამელ-ი	Weltvernichter
ნაწლევთმჭამელ-ი	Innereienesser
შესაწირავისმჭამელ-ი	Opfergabenesser
მკალისმჭამელ-ი	Heuschreckenfresser
თესლისმჭამელ-ი	Sämereienesser, Gemüseesser
მძორისმჭამელ-ი	Aasfresser
მიწისმჭამელ-ი	Erdfresser
ყელისსაბმელ-ი	Kette, Halsschmuck
ხარკისმიმცემელ-ი	Steuerzahler
შიგნითგამომცემელ-ი	Verräter
ნიჩბისმცემელ-ი	Steuermann
ხარკისმცემელ-ი	Steuerzahler
წამლისმცემელ-ი	Arzt
პურისმცემელ-ი	Fütterer
ხუარაზმელ-ი	Choresmier
შოვამდგომელ-ი	Vermittler
ზემდგომელ-ი	Aufseher
წინააღმდგომელ-ი	Gegner, Widersacher; Gegner, Widersacher
პირველადსაჯდომელ-ი	Vorsitz, Ehrenplatz
ქუეყანისსაზომელ-ი	Bodenvermesser
ქუეყანისმზომელ-ი	Geometer
ვეცხლისმშრომელ-ი	Silberschmied
ქუეყანისმშრომელ-ი	Bauer
ქუეწარმძრომელ-ი	Reptil; unten kriechend, lahm; Reptil; unten kriechend, lahm
საფსმელ-ი	männliches Glied
შემწეობისმომრთუმელ-ი	Helfer
წიგნისმრთუმელ-ი	Briefüberbringer
წყლისსასუმელ-ი	Wasserbecken
ღჳნისმსუმელ-ი	Weintrinker, Trunkenbold
ყრმისაღმქუმელ-ი	Hebamme
ფერჴთშესაცუმელ-ი	Schuh
მატლთსაჭმელ-ი	Wurmfutter
ფსალმუნთშემასხმელ-ი	Psalmensänger
ფერჴთშესასხმელ-ი	Schuh
ფერჴთსასხმელ-ი	Schuh
მერცხლისგამსხმელ-ი	schwalbenjagender Vogel
წყლისმსხმელ-ი	Wassereingießer
იერუსალჱმელ-ი	Jerusalemer
მხჳმელ-ი	Mehl für das Weihbrot
ჴელგანჴმელ-ი	mit gelähmter Hand
ცხოვართსაბანელ-ი	Schafbadestelle
ჰეროდიანელ-ი	Anhänger des Herodes
წყალთგარდამოსაქანელ-ი	Wasserrinne
წარსაქანელ-ი	Etmal, in einem Tag zu durchfahrende Strecke auf See (80 Meilen)
წელთდამკბენელ-ი	Darmentzündung
შესასმენელ-ი	anzuzeigend, Beweismittel
შთასადინელ-ი	Becken zur Aufnahme von Flüssigkeit
წყალთსადინელ-ი	Wasserrinne
მისადინელ-ი	Rinne
გამოსადინელ-ი	Rinne; Ader
მისაძინელ-ი	Ruhestätte, Grab
გამომთარგმნელ-ი	Erklärer, Kommentator
ნიშთმზმნელ-ი	Wahrsager, Zeichendeuter
ქვისმქმნელ-ი	Steinmetz
შთასარღუნელ-ი	Flüssigkeitsbehälter
საძღუნელ-ი	zu überreichend, Geschenk
მყნელ-ი	pfropfend, Pfropfer
ჰინდოელ-ი	Inder
სათოელ-ი	Maß (für Korn und Getreide)
სელისმქსოელ-ი	Leinweber; Leinweber
მისათხოელ-ი	Braut; Braut
პურისმთხოელ-ი	Bettler
ეშმაკთსაყუარელ-ი	Teufelsliebling
მწერელ-ი	Schriftsteller, Schreiber
გარდამწერელ-ი	Abschreiber; Abschreiber
სძლისმომგურელ-ი	Freund des Bräutigams
ბნელისგანმყრელ-ი	Zerstreuer der Finsternis
თანადშესამოსელ-ი	Kleidung
საკურთხევლისშესამოსელ-ი	Altartuch
ტანისშესამოსელ-ი	Kleidung
ტანისსამოსელ-ი	Kleidung; Kleidung
წიგნისმმოსელ-ი	Buchbinder
მკუდრისმმოსელ-ი	Totenbekleider
მწყსელ-ი	Hirt, Hüter, Dresseur
მომწყსელ-ი	Hüter, Hirt
ნიშთმჭურეტელ-ი	Wahrsager
ისრაიტელ-ი	Israelite
ისრაჱლიტელ-ი	Israelite
სდუელ-ი	Pflücken, Weinlese; Monatsname (etwa Oktober); Pflücken, Weinlese; Monatsname (etwa Oktober)
წინაწარმეტყუელ-ი	Prophet
ცრუვწინაწარმეტყუელ-ი	falscher Prophet
ცრუწინაწარმეტყუელ-ი	falscher Prophet
წინაჲსწარმეტყუელ-ი	Prophet; Prophet
ქებისმეტყუელ-ი	Preissänger
ღმრთისმეტყუელ-ი	Theologe
თესლისმეტყუელ-ი	Schwätzer
სახისმეტყუელ-ი	Gleichniserzähler, Fabelerzähler
მეტსმეტყუელ-ი	Schwätzer
მრეშუელ-ი	Holzhacker
ტყისმკაფელ-ი	Holzfäller
შეშისმკაფელ-ი	Holzfäller
საწაფელ-ი	Zaum, Zügel; Steuer
თანასაყოფელ-ი	mitbewohnend, Nachbar
ქუეყანითმყოფელ-ი	Wahrsager
მძლავრმყოფელ-ი	Vergewaltiger
დედაქალაქელ-ი	Hauptstädter
პერექელ-ი	Tuch zum Abdecken von Kirchengefäßen
საშჩელ-ი	Strafe, Strafmaß, Gericht, Urteil; Strafe, Strafmaß, Gericht, Urteil
საკუეცელ-ი	Schneidemesser
ვცელ-ი	weit, breit, geräumig; Teil der Hüfte; weit, breit, geräumig; Teil der Hüfte
ჴელთსაჴოცელ-ი	Handtuch
ღელვავრცელ-ი	große Erregung; Fußnotensymbol
დედისმუცელ-ი	Mutterbauch, Mutterleib
წჳვგრძელ-ი	mit langem Unterschenkel
სავრძელ-ი	Sessel, Stuhl
ხატთმლეწელ-ი	Bilderstürmer
კეცისჭურჭელ-ი	Tongefäß
ოქროჲსჭურჭელ-ი	Goldschmuck
წინააღდგომმსჯელ-ი	Streiter, Kläger
განმშჯელ-ი	richtend, Richter
სახელტკბილ-ი	mit angenehmem / glücklichem Namen
ნაყოფტკბილ-ი	gute Frucht
თმაგარდატეობილ-ი	mit herabgelassenem Haar; mit herabgelassenem Haar
ფურცელდაჭნობილ-ი	mit verwelkten Blättern
წინაგანწყობილ-ი	gegnerisch, Feind
სიცბილ-ი	Verrücktheit, Dummheit, Heimtücke
აჩდილ-ი	Schatten, Dämmerung, Beispiel; Schatten, Dämmerung, Beispiel
თითწარჴდილ-ი	mit abgefallenen Fingern
სულნელყუავილ-ი	duftende Blume
ქათმისყივილ-ი	Hahnenschrei
შეჩივილ-ი	Klage
შემოჩივილ-ი	Klage
იფქლვილ-ი	Weizen
ყოვილ-ი	Blume, Blüte; Blume, Blüte
თავდაბურვილ-ი	mit verhülltem Kopf
მისურვილ-ი	Wunsch
ტყუვილ-ი	Lüge, Lügen
შვილისშვილ-ი	Enkelkind
შჳვილ-ი	Lärm, Getöse
ჴელთბორკილ-ი	Handfesseln
თანაყოლილ-ი	folgend, Anhänger
ზედდადგრომილ-ი	Aufseher
სიყრმილ-ი	Hunger; Hunger
სიყუმილ-ი	Hunger; Hunger
უკურჩენილ-ი	übriggeblieben, Gewinn
მეძავქმნილ-ი	Hure
