მეერთისა	Pantokrator
საქმისმოქმედ-ი	arbeitend, tätig
ქუეყანისმოქმედ-ი	Bodenbearbeiter, Bauer
პურისმოქმედ-ი	Bäcker
პილენძისმოქმედ-ი	Kupferschmied
სახისმოქმედ-ი	herausarbeitend, herausmeißelnd, machend
თიჴისმოქმედ-ი	Töpfer
ამაოჲსმოქმედ-ი	vergebens tätig
ჯაჭჳსმოქმედ-ი	Waffenhersteller
ხაოედ-ი	flauschig, zottig
მუსმარედ-ი	mit Nägeln versehen
მცენარედ-ი	zum Aufwachsen bestimmt
ჴბოვრედ-ი	Kalbs-, mit einem Kalb
ოთხოთხპირედ-ი	je viergestaltig
მცირედ-მცირედ-ი	wenig, ganz wenig, leicht
სამქორედ-ი	drittes Stockwerk
ოქროაღჳრედ-ი	mit goldenem Zaumzeug
ოთხხატედ-ი	viergestaltig
მკედისნაწყუედ-ი	Fadenstück
სამშუედ-ი	Busch einer Pflanze mit drei zusammenstehenden Dornen, Tribolos
რიცხუედ-ი	Gezähltes, rhythmische Sprache
სწორრიცხუედ-ი	gleichmäßig
ქედ-ქედ-ი	großer Berg
დღითიდღედ-ი	täglich
ოქრონაჭედ-ი	vergoldet, goldbeschlagen
ოქრობეჭედ-ი	goldener Ring
სახედ-სახედ-ი	unterschiedlich, verschieden
ადგიდ-ადგიდ-ი	Stellen, Orte
ფრთადიდ-ი	großflügelig
ძალდიდ-ი	stark
მუცელდიდ-ი	Großbäuchiger
კეთილდიდ-ი	reich, voller Güte
სხეულდიდ-ი	von großem Körperbau
ჴორცდიდ-ი	groß, hochgewachsen, breitschultrig
ფერჴდიდ-ი	großfüßig
სკალიდ-ი	Spaten
ყრმიდ-ი	junge Frau
ქლანიდ-ი	Chlamys; Chlamys
მორიდ-ი	zurückhaltend, schüchtern, ausweichend
სფჳრიდ-ი	Korb
სამარიტიდ-ი	Samariterin
ავანდ-ი	Gesetz, Tradition
მეჰევანდ-ი	Halskette, Kette; Ring
ერებინდ-ი	Erbse
თანაგუნდ-ი	Gruppenkamerad
ხლამჳნდ-ი	Chlamys
მგუერდ-ი	Seite, Hang; Maß; Rippe
მოკლეკუდ-ი	kurzschwänzig
ცხჳრმრუდ-ი	krummnasig
მნებავ-ი	wünschend
მგრძნებავ-ი	Zauberer
პორფირისმღებავ-ი	Rotfärber
ანბავ-ი	Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
ჰანბავ-ი	Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
უღობავ-ი	ungezügelt, nicht aufzuhalten
გარემოჲსშესახედავ-ი	ringsum zu sehend
მოქირდავ-ი	verspottend, auslachend
ზედადასართავ-ი	hinzufügend, überflüssig
მისართავ-ი	hinzuzufügend
ურთავ-ი	Torflügel
ერისთავთ-ერისთავ-ი	Oberster Heerführer (georg. Titel)
დასისთავ-ი	Militärführer, Chorleiter
სუეტისთავ-ი	Kapitell
წყაროჲსთავ-ი	Quelle
კუროჲსთავ-ი	Dornstrauch
თთჳსთავ-ი	Monatsbeginn
კუროჲთავ-ი	Dornstrauch; Dornstrauch
მისათუალავ-ი	dafürzuhaltend, zu geltend
შეუმშჭუალავ-ი	unbefestigt
მზუელავ-ი	Schauspieler, Nachahmer
ნაღელავ-ი	Welle, Woge
განსახილავ-ი	zu sehend, zu erblickend
გემოჲსუხილავ-ი	hungrig
თუალთსაოლავ-ი	Augentusche
ვასკულავ-ი	Stern; Stern
ნაოფლავ-ი	in Schweiß erarbeitet
საშუღლავ-ი	strittig, umstritten
მოჭრტინავ-ი	Kläger
მიმომწლონავ-ი	Ausführender eines Gerichtsurteils; umherlungernd
მრავალსაზრუნავ-ი	sehr zu betreuend, sehr zu umsorgend
მოზრუნავ-ი	betreuend, fürsorgend
უნიშნავ-ი	merkmallos
სადრტჳნავ-ი	Klage, zerstörend, behindernd
მოდრტჳნავ-ი	Kläger
ზოპავ-ი	Ysop; Weihwedel
მზოპავ-ი	Lügner, Prahler
თუალჟივჟავ-ი	mit scheckigen Augen
განსაპარავ-ი	zu stehlend
ნაკერავ-ი	genäht
სიტყჳსმკერავ-ი	mit Worten heilend, kundig
მჰაზრავ-ი	Wahrsager
შენაწირავ-ი	geopfert
მრგულიადშესაწირავ-ი	Opfer
ფასისშესაწირავ-ი	Geldopfer
აღუჰამრავ-ი	zahllos, ungezählt
თავუბურავ-ი	mit unverhülltem Kopf
შესამურავ-ი	mit Myrrhe zu salbend
თანნათესავ-ი	verwandt
უცხონათესავ-ი	Ausländer, Fremdstämmiger
უთესავ-ი	ungesät
ნალესავ-ი	Rückstand vom Schleifen
ფასისმოსავ-ი	reichtumliebend, besitzliebend
მზუავ-ი	stolz, hochmütig
მზაკუავ-ი	hinterlistig
თუალთმოხუავ-ი	voreingenommen
აღსარაცხუავ-ი	zu zählend
საფქავ-ი	zu mahlend
მოფქავ-ი	mahlend
წიგნისტყავ-ი	Pergament
თხისტყავ-ი	Jacke aus Ziegenfell
ხილისსაცავ-ი	Zelt / Hütte der Obsthüter
ფასისსაცავ-ი	Vorratslager
მრავალსალოცავ-ი	sehr zu erflehend
ულოცავ-ი	ohne Gebet
უცავ-ი	ungeschützt
გარეშეუცავ-ი	grenzenlos
მფუცავ-ი	schwörend
მრავალმფუცავ-ი	oft schwörend
კეთილისმობაძავ-ი	Gutes nachahmend
მოსარეწავ-ი	zu erwerbend, zu besorgend
შემომზრახავ-ი	Besprecher
მკრეხავ-ი	raubend, plündernd
წარსაკითხავ-ი	zu lesend
პირჰავ-ი	übelredend
ნასყიდევ-ი	gekauft
ქალდევ-ი	Chaldäer, chaldäischer Priester
ნაცოდევ-ი	Sünde
მკურისკევ-ი	Harz
რვალნაწლევ-ი	grausam
ნამწუარევ-ი	verbrannt; verbrannt
ნაკაცევ-ი	ehemaliger Mensch
მართლუკუნმქცევ-ი	zurückschickend, umkehren lassend, zurückgekehrt
მიმომქცევ-ი	schwankend, wankend
წურილმოქცევ-ი	Komma, Beistrich
შჳდეულისმოქცევ-ი	Woche
მჴევ-ი	Schlucht, Tal; Schlucht, Tal
ძლივ-ი	stark, mächtig, fest
ჰურიებრივ-ი	jüdisch
გლახაკებრივ-ი	arm, bettelarm
მუსიკებრივ-ი	musikalisch
ჭაბუკებრივ-ი	jugendlich
მკლველებრივ-ი	Mörder-
მჴევლებრივ-ი	sklavisch
მამებრივ-ი	väterlich
ყრმებრივ-ი	kindlich; kindlich
ძმებრივ-ი	brüderlich
მონებრივ-ი	Sklaven-, Diener-
მდედრებრივ-ი	weiblich
ჰაერებრივ-ი	luftig, Luft-
სულიერებრივ-ი	seelisch
მთავრებრივ-ი	fürstlich
ვირებრივ-ი	eselhaft
პირუტყუებრივ-ი	tierisch, wie Nichtsprechende; tierisch, wie Nichtsprechende
მეუფებრივ-ი	Reich, Königreich
მჴეცებრივ-ი	wild; wild
ძმობრივ-ი	brüderlich; brüderlich
მეფობრივ-ი	königlich
მამაკაცობრივ-ი	männlich
ერისკაცობრივ-ი	bürgerlich, Bürger-
სწორპატივ-ი	gleiche Verehrung, gleiche Würde
კუვ-ი	Schildkröte; Schildkröte
პურადუხვ-ი	reich bewirtend
ზეეზ-ი	kostbarer Stoff, Byssos
სპანქრეზ-ი	Brötchen
ქარტეზ-ი	Pergament
მჴეცთევზ-ი	Raubfisch, Fischbestie
ფარაოზ-ი	Leuchtturm
მანქლიოზ-ი	[Bedeutung unklar]
სინგელოზ-ი	Synkellos, Helfer oder Stellvertreter eines kirchlichen Würdenträgers
ფანოზ-ი	große Leuchte; große Leuchte
სჳნდიკნოზ-ი	Mutter des getauften Kindes
კჳპაროზ-ი	Zypresse; Zypresse
სინკლიტოზ-ი	Senat(smitglied)
ანდერზ-ი	Vermächtnis; Vorwort, Nachwort, Zusatz; Vermächtnis; Vorwort, Nachwort, Zusatz
სამეოცდაათ-ი	siebzig
ორმეოცდაათ-ი	fünfzig
ოთხმეოცდაათ-ი	neunzig
მაგათ-ი	ihr, deren
ნათ-ი	Licht
სასარკინოზეთ-ი	Arabien
ვიეთ-ი	manches, von manchem
მაკედონიეთ-ი	Makedonier
აღმოსავალეთ-ი	Osten
ჰინდოეთ-ი	Indien, äthiopien
სიკარეთ-ი	Räuber
ჰასეთ-ი	so ein, solch
ზოგებით-ი	teilweise, Teil-
წილგდებით-ი	durch Los entschieden
თუალმორიდებით-ი	mit schlechtem Augenlicht
განტევებით-ი	freigelassen, frei, einzeln
მართებით-ი	wahrhaftig, wirklich
მიმოცვალებით-ი	veränderlich
წინაწარმეტყუელებით-ი	prophetisch
შემკობილებით-ი	schön
განგებულებით-ი	beabsichtigt
ერთგულებით-ი	treu, vertrauenswürdig
მომრგულებით-ი	rund, kreisförmig
კრძალულებით-ი	vorsichtig
განკრძალულებით-ი	vorsichtig, zurückhaltend
ქმნულებით-ი	gemacht, schön
სრულებით-ი	ganz, vollständig
ქალწულებით-ი	ohne Gatten
თესლოვანებით-ი	Samen-
განშუენებით-ი	geschmückt, verschönt, gut
თესლოვნებით-ი	Samen-; Samen-
გამოჩინებით-ი	klar, deutlich
წარმოჩინებით-ი	zu zeigend, beispielhaft
ქორწინებით-ი	ehelich
მოგონებით-ი	überlegt, beabsichtigt
მონაზონებით-ი	Mönch-, Nonnen-
რწმუნებით-ი	überzeugend
უსამართლოებით-ი	ungerecht
უსჯულოებით-ი	unanständig, gesetzeswidrig
მეუდაბნოებით-ი	Eremiten-
სათნოებით-ი	gefällig
მყუდროებით-ი	still, ruhig
მარტოებით-ი	einzeln
ძმათმოყუარებით-ი	Bruderliebes-
სიბრძნისმოყუარებით-ი	philosophisch, weise
მშჳნვიერებით-ი	seelisch
კადნიერებით-ი	dreist
მეცნიერებით-ი	verstanden, bewußt
მძლავრებით-ი	gewaltsam, gezwungen
მოძღურებით-ი	unterweisend
კეთილადმსახურებით-ი	gerecht
ღირსებით-ი	würdig
ჭეშმარიტებით-ი	wirklich, wahrhaftig
გარეთშემოღებით-ი	unnatürlich
მოღუაწებით-ი	Fürsorge-, Betreuungs-
ზუაობით-ი	stolz, überheblich
მოვალეობით-ი	notwendig
მეშუღლეობით-ი	feindlich
მეჰაზრეობით-ი	vernünftig, verständig
მესიზმრეობით-ი	Traum-, unklar
მესტეჭეობით-ი	ungläubig
შობისდღითობით-ი	Geburtstags-
მკურნალობით-ი	Arzt-, ärztlich, Heil-
მღერალობით-ი	zur Unterhaltung
მართლმადიდებლობით-ი	orthodox
მჩუენებლობით-ი	pharisäerhaft
შემომკრებელობით-ი	versammelnd, sammelnd, vereinigend
თჳთმფლობელობით-ი	frei, unabhängig
მიმოდაუბნეველობით-ი	unteilbar, unverstreut
თჳთმხილველობით-ი	Augenzeugen-
თანაგანმხილველობით-ი	gesetzlich, ordentlich
განუნახველობით-ი	willkürlich
დამსახველობით-ი	scheinbar
მომმუხველობით-ი	verbrennend, reißen / platzen lassend
სახისმჩემელობით-ი	heuchlerisch, betrügerisch
უშრომელობით-ი	ohne zu arbeiten, mühelos
ცხოვლობით-ი	belebend
ცილობით-ი	strittig
სადღესასწაულობით-ი	Feiertags-
იჭუნეულობით-ი	mißtrauisch
მოპარულობით-ი	Diebes-, diebisch
მოსაჯულობით-ი	Anklage-
მიმდემობით-ი	ununterbrochen
თანალმობით-ი	mitfühlend
შემდგომობით-ი	folgender
მოწმობით-ი	bezeugend, bestätigend
ერთჴმობით-ი	einmütig
ქრისტეანობით-ი	christlich
მგოსნობით-ი	bardisch, musikalisch
სამღდელოობით-ი	Priester-
უსამართლოობით-ი	ungerecht
სასძლოობით-ი	Lobpreisung der Muttergottes
მეგობრობით-ი	freundschaftlich
მღდელთმთავრობით-ი	Bischofs-
ღმერთმთავრობით-ი	göttlich
თანამოსუმურობით-ი	Zech-
პაექრობით-ი	strittig
მწყემსობით-ი	Hirten-
თანაგანმზრახობით-ი	ratgeberisch, Verhandlungs-
სიწმიდით-ი	rein, makellos
იგავით-ი	ähnlich, angeglichen
ზითევით-ი	Mitgift habend
მრავალშემთხუევით-ი	vielfältig
გამობერვით-ი	durch Blasen hergestellt (Glas)
ზაკუვით-ი	heimtückisch
თანაზრახვით-ი	glaubhaft
სიგლახაკით-ი	bedürftig
დასავალით-ი	Westen
აღმოსავლით-ი	Osten; Osten
ტყუილით-ი	lügnerisch, verlogen
წილით-ი	durch Los entschieden
სასთუნლით-ი	Kopfseite
სიყუარულით-ი	Liebes-
სიხარულით-ი	freudig, froh
ძლით-ი	wegen; der Kraft / dem Können entsprechend
ცოდვისაძლით-ი	Opfer zur Vergebung der Sünden
მამით-ი	väterlicherseits
თანამამით-ი	von einem Vater stammend
წინააღდგომით-ი	gegenteilig, gegensätzlich
ზომით-ი	maßvoll
დაშრომით-ი	erschöpft, abgearbeitet, belästigend
საქმით-ი	vollendet, erledigt
მარცხენით-ი	links befindlich; heimtückisch
ზედამიწევნით-ი	wahrhaftig, genau
ჯმნით-ი	Abschiedsgruß
საჴმრით-ი	notwendig
ნეფსით-ი	freiwillig geschehen; freiwillig geschehen
სწრაფით-ი	schnell, rasch
განყოფით-ი	einzeln, getrennt
წინადღით-ი	gestrig
სახით-ი	ähnlich, bildhaft, übertragen, metaphorisch
სომხით-ი	Armenien; Armenien
ფსანთ-ი	Bastmatte; Bastmatte
აფსინთ-ი	Wermut; Wermut
ელამოთ-ი	Vorraum (der Kirche)
სადეროთ-ი	(Schlacht)reihe; (Schlacht)reihe
მათდამიმართ-ი	für sie bestimmt
სახარებისამიმართ-ი	Evangelien-
წინაგანმწყობისამიმართ-ი	gegenteilig, gegnerisch
მისამიმართ-ი	zu ihm gewandt / gerichtet, ihm zustehend
სიმდაბლისმიმართ-ი	bescheiden
მომართ-ი	Frage
ერთმანერთ-ი	einander
სატჳრთ-ი	Last, Bürde, aufzuladend
ევფუთ-ი	Priestergewand; Priestergewand
მარცხენჱთ-ი	links befindlich; heimtückisch
ეგრჱთ-ი	solch
ესრჱთ-ი	so ein, solch
ანაზდაჲთ-ი	unverhofft, unerwartet
წინაჲთ-ი	früherer
სიტყჳთ-ი	mit Worten, in Worten
იშჳთ-ი	selten
ნაბაკ-ი	gelagert
ტრედაკ-ი	Täubchen
ჰროარდაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
გოზაკ-ი	Becher; Becher
ნიგუზაკ-ი	nußförmig(e Schale); nußförmig(e Schale)
ხარტოფილაკ-ი	Bibliothekar; Bibliothekar
დისწულაკ-ი	kleiner Neffe, kleine Nichte
ძმისწულაკ-ი	kleiner Neffe, kleine Nichte
ყრმაკ-ი	Kleinkind, Kindchen
ჰეშმაკ-ი	Teufel, Satan, böser Geist, Dämon; Teufel, Satan, böser Geist, Dämon
პალატ-ბანაკ-ი	Königshof
წუენაკ-ი	Süppchen
ტომარაკ-ი	Handschriftenkodex; Beutel, Sack
ჰურაკპარაკ-ი	Platz, Straße
სტავრაკ-ი	ein kostbarer Stoff, Brokat
სტჳრაკ-ი	Gummi(baum)
ჰროვარტაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
ჰროარტაკ-ი	Sendschreiben, Befehl; Sendschreiben, Befehl
შოშაკ-ი	Trense
თანამუშაკ-ი	Mitarbeiter
კუარცხბეკ-ი	Podest, Schemel; Podest, Schemel
ნაჩხრეკ-ი	geschrieben
სპონდიკ-ი	leichter Baustein
უჟიკ-ი	Meder
არქიმანდრიკ-ი	Klostervorsteher, Abt, Archimandrit; Klostervorsteher, Abt, Archimandrit
პავასიკ-ი	Beutel, Tasche
პაჲვასიკ-ი	Beutel, Tasche
მუსიკ-ი	Musiker
დალმატიკ-ი	ärmelloser Chiton
ლეკტიკ-ი	Sänfte, Trage
უფფიკ-ი	Dienst, Aufgabe, Offizium
საბერკ-ი	Strauch, Hecke
კუარცხბერკ-ი	Podest, Schemel; Podest, Schemel
ჭაპუკ-ი	Jugendliche(r), Jüngling; Jugendliche(r), Jüngling
ძჳრისმკრებალ-ი	böse, Böses sammelnd
გარემავალ-ი	herumstreunend
ზედამიმავალ-ი	Angreifer
შინაგანმავალ-ი	Nahestehender, Getreuer
წინაგამომავალ-ი	allererster
ზენადამომავალ-ი	herabkommend
თანაშთამომავალ-ი	fürsorgend
ქუეშეწარმავალ-ი	unten kriechend, Kriechtier
თანწარმავალ-ი	Reisender
მყისწარმავალ-ი	rasch entschwindend
ქმრისცოლისმავალ-ი	frauenähnlich
წიაღმავალ-ი	überquerend, hinübergehend
თმამრავალ-ი	dichtbehaart
ცოლმრავალ-ი	polygam
ღუაწლმრავალ-ი	unermüdlich
ფერმრავალ-ი	verschiedenfarbig
მზისდასავალ-ი	Sonnenuntergang, Westen
წინაშესავალ-ი	Vorwort
წიაღმოსავალ-ი	Ausgang aus dem Wasser
მზისაღმოსავალ-ი	Sonnenaufgang, Osten
გამომრჩევალ-ი	auslesend, auswählend
მურკნვალ-ი	Wäscher, Reiniger, Walker; Wäscher, Reiniger, Walker
დღესაშოვალ-ი	Mittag; Mittag
ჴამლისმკერვალ-ი	Schuhmacher
საჭითმხერვალ-ი	Steuermann
მგორვალ-ი	rollend
თანამცორვალ-ი	Leibwächter
წინამცორვალ-ი	Bote
თანაწარმცორვალ-ი	Leibwächter
თანამცურვალ-ი	Mitreisender zu Schiff
მკაწრვალ-ი	zerkratzend, ritzend
დღესაშუვალ-ი	Mittag
თანამზრახვალ-ი	ratend, beratend
ძლითმზრახვალ-ი	stotternd
მთავარმზრახვალ-ი	Oberratgeber
კეთილისმზრახვალ-ი	zum Guten ratend
ძჳრისმზრახვალ-ი	Böses / Schlechtes wünschend / beabsichtigend
სიტყჳსმზრახვალ-ი	kunstvoll sprechend, redend
თანამძრახვალ-ი	ratend, beratend
მოტრფიალ-ი	begehrend, liebend
კრხიალ-ი	Schreien, schreien
უნჯაკალ-ი	Verwalter, Kellermeister
მრეკალ-ი	klopfend
ოთხეკალ-ი	Dornenstrauchart
დამღულალ-ი	zerrissen, zerfetzt
იღუნალ-ი	gebogen
მალემწერალ-ი	schnell schreibend
მოსაჴსენებელთმწერალ-ი	Testamentsschreiber
სიმიაჲთმწერალ-ი	Chronist
შჯულისმწერალ-ი	Gesetzeskundiger, Gesetzesschreiber
წიგნისმწერალ-ი	Schreiber
ანდერძისმწერალ-ი	Abschreiber
მომაშურალ-ი	betrübt; hergekommen, eingetroffen
საგუსალ-ი	Gewebe, Faden
ტანმრგუალ-ი	dick, fett
წუერმრგუალ-ი	rundbärtig
მრავალთუალ-ი	aufmerksam
მზისთუალ-ი	Sonne
ურმისთუალ-ი	Rad
ჩიტისთუალ-ი	Anmerkungszeichen (gramm.)
ნარისუალ-ი	Schurwolle
ჴორც-ძუალ-ი	Fleisch und Knochen
ზურგისძუალ-ი	Rückgrat, Wirbelsäule
პილოჲსძუალ-ი	Elfenbein
დეოფალ-ი	Königin, Herrin; Königin, Herrin
დიოფალთ-დიოფალ-ი	Königin der Königinnen
პურისა უფალ-ი	Tischherr
დეუფალ-ი	Königin, Herrin; Königin, Herrin
ნავისუფალ-ი	Schiffsbesitzer
პურისუფალ-ი	Tischherr
სეფექალ-ი	Magd am Königshof; Hofdame
ზღჳსქალ-ი	Meerjungfrau
სავაღალ-ი	Faden, Netz
ცხჳრმაღალ-ი	langnasig
ნაბერწყალ-ი	Funke
თანასძალ-ი	Schwägerin
მარილმხალ-ი	eine Art Gemüse
ნაკუარცხალ-ი	Glut, brennende Kohle
ასურებლ-ი	assyrisch
თხრებლ-ი	Grube, Graben; Grube, Graben
ზომთსაბელ-ი	Maßband, Seil
ჴამლისსაბელ-ი	Schnürsenkel
მანქანისსაბელ-ი	Strick, Seil einer Vorrichtung
მგებებელ-ი	empfangend
თანამნებებელ-ი	Bundesgenosse, Verbündeter
ღმრთისმსახურებისმნებებელ-ი	nach dem Glauben strebend
წინამქადაგებელ-ი	Prophet
წინაჲსწარმქადაგებელ-ი	Prophet
თუალთსაგებელ-ი	ansehnlich
წინაგანსაგებელ-ი	festzulegend
ოქროსაგებელ-ი	goldenes Bett
სირცხჳლისსაგებელ-ი	schändlich
შურისსაგებელ-ი	zu rächend
სიტყჳსსაგებელ-ი	Antwort-, Entgegnung
მომძაგებელ-ი	hassend
მგებელ-ი	gründend, schaffend, opfernd
სიტყჳსმიმგებელ-ი	antwortend
წარმგებელ-ი	ausgebend, verbrauchend
სიტყჳსმგებელ-ი	antwortend, streitend
წინაგანუგებელ-ი	unbedacht
თანადამბადებელ-ი	Mitschöpfer
შემმზადებელ-ი	bereitend, zubereitend
წინაგანმმზადებელ-ი	vorbereitend
წინამოუმზადებელ-ი	unvorbereitet
მაქადებელ-ი	drohend
მრავალსაღაღადებელ-ი	viel zu redend, einzuladend
ღაღადისმგდებელ-ი	Nachrichtenübermittler, Bote
უდიდებელ-ი	mißachtet
მრიდებელ-ი	meidend
ურიდებელ-ი	unverschämt; unverschämt
წინადამდებელ-ი	hinlegend, gebend
ანდერძისდამდებელ-ი	der ein Vermächtnis niederlegt
სახელისმდებელ-ი	Namensgeber
რჩულისმდებელ-ი	Gesetzgeber; Gesetzgeber
შჯულისმდებელ-ი	Gesetzgeber; Gesetzgeber
დამწინდებელ-ი	sich verlobend; ein Pfand gebend
მლოდებელ-ი	wartend
საბუდებელ-ი	Nest
მოუმშჳდებელ-ი	unbezähmbar
მფრთეებელ-ი	fliegend
უზავებელ-ი	unvermischt
მოუზავებელ-ი	unvermischt, unangemessen
შემასწავებელ-ი	zeigend, verheißend, lehrend
წინამომასწავებელ-ი	im voraus anzeigend / ankündigend
მოსასწავებელ-ი	anzukündigend, anzuzeigend
ზეგარდამოსატევებელ-ი	herabzulassend; Wasserfall
მიმომაზრუნვებელ-ი	belästigend
შემაურვებელ-ი	belästigend, behindernd
აღსაშურვებელ-ი	beneidenswert
