a უჟეჟთაეს-	höchster
მიმდე-მიმდე	immer, ständig
იქიმდე	dorthin
აქამომდე	bis hierher; bis zu dieser Zeit
აწამომდე	bis zu dieser Zeit
ეგთავე	so
ვინაჲვინაჲთვე	von allen Seiten
ნანდჳლვე	wirklich, wahrhaftig
აწითგანვე	seit dieser Zeit
ხოლე	nur, aber, sondern, allein, und, also; nur, aber, sondern, allein, und, also
სამე	also, dann; irgendwo, wirklich
ზოგსრაჲმე	teilweise
გარეს-გარე	draußen, fern
ჰაგრე	so
ეგრე	so
ჰეგრე	so
ადრე	bald, rasch
ადრე-ადრე	rasch, schnell
ვირე	als, solange, solange als, wenn, während, bevor, bis, wo, wohin; als, solange, solange als, wenn, während, bevor, bis, wo, wohin
ზემორე	etwas weiter oben
ჰასრე	so
ესრე	so
აესრე	so
ჰაჲსრე	so
თურე	etwa, vermutlich
ჰასე	dies
არაუკუე	etwa nicht, denn nicht
ზე-ქუე	von oben nach unten
დაქუე	nieder, abwärts, nach unten
მართლქუე	nach unten, abwärts
ხვალისა დღე	am nächsten Tag
დღითი დღე	jeden Tag
მარადღე	immer, jeden Tag
დღესდღე	am heutigen Tag
ხვალისდღე	am nächsten Tag
თანაშე	nahe
ქუეშე	unten, nach unten; unter
იგურდივ	daneben, neben, zur Seite
უნებლივ	unwillkürlich
ცხოვლივ	lebendig
მრგულივ	ringsum
შიშულივ	nackt
ძლივ	kaum, mit Mühe
ცოცხლივ	lebendig
იშობრივ	unwillkürlich, zufällig
მამაკაცობრივ	männlich
სიზმრივ	im Traum
უზმრივ	hungrig, ohne gegessen zu haben
მაძღრივ	satt
დღივ	täglich
იბრტყივ	flach
ფრჴივ	zu Fuß
არღარასადეთ	niemals
ჯერეთ	noch, vorläufig noch
პირდადებით	unterwürfig
შეგუვებით	wahrscheinlich; wahrscheinlich
მართლმიმართებით	geradeaus
მომრგულებით	ringsumher
არანებით	ohne Erlaubnis
ღმრთივშუენიერებით	von göttlicher Schönheit / Größe
შინაგამოღებით	deutlich, klar
დღეგამოღებით	jeden zweiten Tag
დღივგამოღებით	jeden zweiten Tag
ნელიადობით	langsam, ruhig
გულყოვლობით	mit ganzem Herzen
ერყოვლობით	ganz, völlig, insgesamt
ძირყოვლობით	ganz, völlig
უღლეულობით	paarweise
თავისუფლობით	frei
მდგომობით	fest
უდიდადშუენიერობით	überaus schön
ჰამრობით	zusammen
ჴელპყრობით	gefangen
მჴარპყრობით	in einer Reihe
წინასწრობით	früher, eilig, hastig
მჴარგანწყობით	in einer Reihe
ორკეცობით	doppelt
თავდაქცევით	nach unten, abwärts
მუცელდაქცევით	auf dem Bauch, bäuchlings
პირდაქცევით	mit dem Gesicht nach unten
პირაქცევით	mit dem Gesicht nach oben
თავდამოქცევით	nach unten
თავგაწირვით	aufopferungsvoll
ამოროხვით	übervoll
ერთგზით	einmal
ყოველგზით	von allen Seiten
რაჲთურთით	ganz, völlig
თავდადრეკით	unterwürfig
სთუნლით	zur Kopfseite hin
ძლით	wegen, durch; gewaltsam; kaum, mit Mühe
შევდომით	untertänig, bescheiden, ehrerbietig; untertänig, bescheiden, ehrerbietig
წათქუმით	wirklich, tatsächlich
რტოგანრთხმით	mit ausgebreitetem Geäst
გარეგნით	draußen
ყოველგნით	von allen Seiten
ორგნით	von beiden Seiten
რტოგარდაფენით	mit ausgebreitetem Geäst
კბილღრჭენით	zähneknirschend
ზედამიწევნით	genau
წიგნ-წერით	schriftlich
შოვრით	fern, von fern
ნეფსით	freiwillig; freiwillig
არანეფსით	unwillkürlich
პირველინაჴით	an der Stirnseite der Tafel
ფრჴით	zu Fuß
გამართ	dorthin; dorthin
ქუედამართ	hinab, hinunter
წამართ	dorthin, im weiteren, danach, geradeaus
შემართ	hinein
განმართ	dorthin
გამომართ	hierher
შინაგამომართ	von innen
დამომართ	herab, nach unten, abwärts
ქუედამომართ	nach unten, abwärts
წამომართ	hierher
უკუმომართ	zurück
უკუმართ	nach hinten, rückwärts
ზეაღმართ	aufwärts, empor
მიღმართ	dorthin
მოღმართ	hierher, her zu; hierher, her zu
ამოღმართ	nach oben, empor
გამოღმართ	diesseits, hüben; herüber
კნინ-ერთ	fast, beinahe
წუსწუთ	häufig
ზეშთ	über, oben; über, oben
ზჱთ	von oben
ეგრჱთ	so
ესრჱთ	so
ქუჱთ	zu Fuß
ნელადაჲთ	langsam
სადაჲთ	woher
არასადაჲთ	von nirgendwoher
ზედაჲთ	von oben
ანაზდაჲთ	plötzlich, unvermutet; plötzlich, unvermutet
უნებლიაჲთ	zwangsweise
უკუანაჲთ	hinten, von hinten
ზენაჲთ	von oben
ვინაჲთ	woher
არავინაჲთ	von nirgendwoher; von nirgendwoher
წინაჲთ	früher
ვერარაჲთ	auf keine Weise
დღეშუაჲთ	von Mittag an
ქუეჲთ	zu Fuß
ჩდილოჲთ	nach Norden, von Norden; nach Norden, von Norden
ორკერძოჲთ	von beiden Seiten
დილითი	am Morgen
დღითი	morgens
დღისი	tagsüber, am Tage
აქა-იქი	hier und da, hierhin und dahin
ამარზაკ	sofort, sogleich, plötzlich
საშოვალ	zwischen, inmitten
შაშუვალ	zwischen, inmitten; zwischen, inmitten
კუალისკუალ	hinterher
მარჯუალ	rechts
მახიობრებლ	wie eine Tänzerin; wie eine Tänzerin
მგუარდლ	neben; schief
უკუანაჲსკნელ	am Schluß, dann, zuletzt
მარჯუელ	rechts
ორჯელ	zweimal; zweimal
ჴელისჴელ	eilig, schnell
არამართლ	krumm, unrichtig
შჳდწილ	siebenfach
ათწილ	zehnfach
ათასწილ	tausendfach
გაცისკრებულ	im Morgengrauen; im Morgengrauen
მარჯულ	rechts, nach rechts
მსრაფლ	schnell, plötzlich, sofort, eilig; schnell, plötzlich, sofort, eilig
ბერძლ	griechisch
მარცხლ	links, nach links
ნანდჳლ	wirklich, wahrhaftig
რაბამ	wie
მყოვარ ჟამ	lange, langandauernd
ეზომ	so, soviel
ვინაჲდგან	aus welcher Zeit; weil; aus welcher Zeit; weil
შრანდითგან	seit dem vergangenen Jahr
მაშინდითგან	seit jener Zeit
გუშინდითგან	seit gestern, von früher
ადრითგან	seit alter Zeit, von früher her
მუნიერითგან	seit jener Zeit
დღესითდღითგან	von heute an
წინაჲთგან	seit frühester Zeit
რაჲთგან	danach, seitdem
მრავალგან	an vielen Stellen
შორსგან	entfernt
ძუღუან	vorgestern
აქან	hier, hierher; hier, hierher
წეღან	vorhin
აქამომდენ	bis hierher; bis zu dieser Zeit; bis hierher; bis zu dieser Zeit
ეგეოდენ	soviel, so, insofern
ესეოდენ	so, daher
ესთენ	so, daher; so, daher
გარეშენ	außerhalb, fort, ohne; außerhalb, fort, ohne
წინაუკუნ	gegenüber
ზეუკუნ	von oben
გარეუკუნ	hinten, zurück
მართუკუნ	zurück, rückwärts, umgekehrt; zurück, rückwärts, umgekehrt
მარჯუნ	rechts, nach rechts; rechts, nach rechts
მარცხნ	links, nach links; links, nach links
ერთხოლო	allein
შინაგამო	von innen
შინაჲთგამო	von innen
ზეჟთამო	von oben
გარემოჲსგარემო	ringsumher, ringsherum
აფფო	wirklich, tatsächlich, etwa
ზედაკერძო	nach oben, von oben, oben
უკანაკერძო	auf der Rückseite
ქუენაკერძო	abwärts, hinab
შინაკერძო	innen, nach innen
ქუეკერძო	hinab
ქუეშეკერძო	unten
თავითკერძო	an der Vorderseite
მრავლითკერძო	von vielen Seiten
ზედაჲთკერძო	nach oben
შინაჲთკერძო	von innen
ქუეჲთკერძო	unten
ბოლოჲთკერძო	von der Rückseite
ზემოკერძო	nach oben
ქუემოკერძო	unterhalb
წიაღმოკერძო	vom Wasser her
წიაღკერძო	auf jener Seite, drüben
მძღუარ	früher, vorhergehend
უკანაწარ	von hinten
წინაწარ	vorher, im voraus
წინაჲსწარ	prophezeien; vorher, im voraus
მდაბრ	in der Siedlung
სახლმდაბრ	im Hause
ჰრომაებრ	römisch
ღაღადებისაებრ	geschreiähnlich
ნათესავებისაებრ	artgemäß
ქმნულებისაებრ	ähnlich dem Gemachten
სახოვანებისაებრ	ähnlich
სახოვნებისაებრ	ähnlich
უღმრთოებისაებრ	der Ungläubigkeit angemessen / entsprechend
სათნოებისაებრ	gut, gefällig
მსგავსებისაებრ	ähnlich
წინამდებარეობისაებრ	nach, gemäß
თხოვისაებრ	der Bitte gemäß
მისაგებელისაებრ	ersatzähnlich
ყოვლისაებრ	wie ein jeder
გულისაებრ	nach Wunsch, wunschgemäß
შჯულისაებრ	nach dem Gesetz
ჯერისაებრ	entsprechend, ordentlich
სიტყჳსაებრ	nach den Worten, entsprechend dem Gesagten
არშაკებრ	arsakidisch; parthisch
ჰრომაელებრ	lateinisch
სპარსლებრ	persisch
მამებრ	männlich
ყმებრ	kindlich
ახოვნებრ	mutig, tapfer
სხუებრ	auf andere Art
დღესდღებრ	wie heute
არშებრ	arsakidisch; parthisch
იგერ	dort
იმერ-ამერ	hin und her
ესეფერ	so
სხუაჯერ	zu anderer Zeit
სამეოცდაათჯერ	siebzigmal
მრავალჯერ	oftmals, häufig
რავდენჯერ	wie oft
წინაჲსჯერ	früher
პირსპირ	geradeaus, direkt, gegenüber, randvoll; geradeaus, direkt, gegenüber, randvoll
შორისშორ	entfernt
სწორ-სწორ	gleichmäßig
სწორისსწორ	gleichmäßig
ყურისყურ	von Ohr zu Ohr, geheim
მწლაფრ	schnell, plötzlich, sofort, eilig; schnell, plötzlich, sofort, eilig
მჩქუეფრ	plötzlich
თანურთიერთას	beieinander
უზეშტაეს	äußerst hoch
არაოდეს	niemals, nie
აროდეს	nie, niemals
ვეროდეს	niemals
უშესაძინელეს	am besten
უუკუანაჲსკნელეს	zuallerletzt
შოვაღამეს	um Mitternacht
უზეღრეს	am höchsten
აქუეს	hier
სადაქუეს	wo
სათქუეს	wo; wo
მუნთქუეს	sofort, plötzlich; sofort, plötzlich
მუნქუეს	sofort, plötzlich
დღესამომდის	bis jetzt, bis heute
ბევრეულგზის	vielmals, oft
რავდენგზის	wie oft; wie oft
რაოდენგზის	wie oft
ჯერეთის	noch, vorläufig noch; noch, vorläufig noch
წუხელის	gestern nacht
უკანის	danach, dahinter
შოვრის	zwischen, dazwischen
შოვასამხრის	mittags, am Mittag
უფროჲსის	überaus viel, mehr, teurer
ურთიერთარს	einander, gegenseitig; einander, gegenseitig
შოვრს	fern, entfernt
უზეშთაჱს	äußerst hoch
უპირადჱს	früher, ursprünglich
უნათლჱს	äußerst hell
უმძიმჱს	äußerst schwer / schwierig
ულხინჱს	überaus gut
უშინარჱს	überaus weit drinnen
უწინარჱს	früher, zu Anfang
უუგუნურჱს	äußerst dumm
უძჳრჱს	äußerst schlecht
უპირატჱს	früher, ursprünglich; früher, ursprünglich
უმეტჱს	meist, äußerst stark / viel
უკუანაჲს	am Ende, später, dann, am Schluß
ამის პირისათჳს	deswegen, darüber
მაგის სახისათჳს	deswegen
რაჲსათჳს	warum, weshalb
ხოლო თუ	vielleicht
დაღათუ	wenn, wenn auch, falls, selbst wenn
ჰეთუ	vielleicht
უნებლიაჲ	zwangsweise
არავინაჲ	von nirgendwoher
ზოგსრაჲ	inwiefern, teilweise
ადგილდ-ადგილდ	   
