უჟეჟთაეს-	höchster
შეტევება	hineinlassen, überfallen, den Kampf aufnehmen
მიტევება	vergeben, erlauben; angreifen, überfallen
ზედამიტევება	angreifen
განტევება	hinauslassen, weglassen, freilassen, entlassen, (Seele) aushauchen
მოტევება	verzeihen, vergeben, erlassen, freilassen, erlauben, geben; angreifen, überfallen
გამოტევება	herauslassen, fortlassen; herausnehmen, herausziehen
დამოტევება	herablassen
გარდამოტევება	herablassen
შთამოტევება	herablassen
გარდმოტევება	herablassen; herablassen
შემოტევება	hereinlassen
წარმოტევება	entfalten, aufblühen
აღმოტევება	herauslassen, herauflassen
წარტევება	weglassen, freilassen, entlassen, angreifen
აღტევება	loslassen, herausnehmen, öffnen, herausgeben, entsenden, treiben
შთამოქუევება	herabfallen
ტჳრთვება	aufnehmen lassen, wegnehmen lassen
მარჩბივება	Zwillinge gebären
შეტკივება	zu schmerzen beginnen
აღტკივება	zu schmerzen beginnen
დაქურივება	Witwe werden, verwitwen
დასივება	anschwellen
განსივება	anschwellen
აღსივება	anschwellen
პატივება	verehren
განმარტივება	allein sein, sich zurückziehen
ფივება	sich kratzen, klagen, trauern
განცივება	kühlen, sich abkühlen
ნუკვება	verwöhnen
აღელვება	sich erregen, sich empören, sich auflehnen
აღღელვება	erregen
ხილვება	untersuchen lassen
დასოლვება	naß machen
შესოლვება	naß machen; naß machen
გულვება	begnadigen; beabsichtigen, wünschen, erfahren, sich in acht nehmen
გამოკუთნვება	aneignen, übereignen
განფრინვება	wegfliegen, abfliegen
მოფრინვება	herfliegen
გამოფრინვება	herausfliegen
გარდამოფრინვება	herabfliegen
აღმოფრინვება	emporfliegen
გარეწარფრინვება	vorbeifliegen
აღფრინვება	auffliegen, emporfliegen, begeistert sein
განბწყინვება	glänzen
გამობწყინვება	hervorleuchten, hervorstrahlen,; hervorleuchten, hervorstrahlen, herausglänzen, zu strahlen beginnen, erstrahlen, aufleuchten
განბრწყინვება	glänzen
გამობრწყინვება	hervorleuchten, hervorstrahlen,; hervorleuchten, hervorstrahlen, herausglänzen, zu strahlen beginnen, erstrahlen, aufleuchten
წარჴდუნვება	verderben, beschädigen
შეზრუნვება	sich Umstände machen, umsorgen; sich Umstände machen, umsorgen
განთოვება	zu schneien beginnen
დადროვება	aufhalten
გასაჭიროვება	in Not sein
გამარტოვება	vereinzeln, (sich) absondern, trennen, isolieren, vereinsamen
ძოვება	weiden, füttern, betreuen
დაძოვება	hüten, versorgen
მოძოვება	weiden, weiden lassen, füttern, auffressen, vernichten
წოვება	säugen, stillen
მითხოვება	verheiraten
განთხოვება	verheiraten (eine Frau)
გამოთხოვება	sich verabschieden
განუცხოვება	entfremden, abfallen, verraten
დაარვება	belästigen, plagen
დაკარვება	sich ansiedeln
ქარვება	verfliegen lassen
განქარვება	verstreuen, vertreiben, verderben, schal werden
მოქარვება	überwinden (Krankheit)
გამოქარვება	schwinden, vergehen, verbleichen
ჭირვება	in Not sein, brauchen, belästigen, bedrängen, fürsorgen; in Not sein, brauchen, belästigen, bedrängen, fürsorgen
დაჭირვება	belästigen, Not leiden, bedürftig sein; belästigen, Not leiden, bedürftig sein
თანაჭირვება	gemeinsam Not leiden, gemeinsam betrübt sein
შეჭირვება	Not leiden, in Not stürzen, bedrängen
მიჭირვება	belästigen, behindern, stören, belästigt werden
მოჭირვება	in Not sein, sich Umstände machen
გორვება	rollen, wälzen
გარდაგორვება	wegrollen, herabrollen, wegwälzen, herabwälzen
შთაგორვება	hinabrollen
შეგორვება	hineinrollen
მიგორვება	hinrollen, hinwälzen
მოგორვება	herrollen, herrollen lassen
აღგორვება	hinaufrollen
ურვება	belästigen, ins Elend stürzen, sich abmühen
დაურვება	fürsorgen, umsorgen, erledigen
შეურვება	belästigen, betrüben, bedrängen
სურვება	anvertrauen
მისურვება	wünschen
მოსურვება	wünschen, begehren
აღსურვება	erwünschen, einen Wunsch bekommen
შეშურვება	neidisch sein
აღშურვება	beneiden
შეცურვება	hineintreiben lassen, hineinschwimmen lassen
განჴურვება	erhitzen, entflammen
გამოჴურვება	erhitzen, brennen, stählen, prüfen
კჳრვება	sich wundern
დაკჳრვება	verwundern, in Erstaunen versetzen, staunen, verblüfft sein, sich wundern; sich fürchten, sich entsetzen, erschrecken
შეკჳრვება	sich wundern, staunen
განკჳრვება	sich wundern, staunen, verblüfft sein; in Erstaunen versetzen, erschrecken
შეგუვება	angewöhnen, anpassen; angewöhnen, anpassen
გამოღრუვება	durchlöchern, durchbohren
დაყრუვება	taub machen
ცრუვება	lügen, belügen, täuschen, betrügen, schmähen; lügen, belügen, täuschen, betrügen, schmähen
განცრუვება	trügen, betrügen; trügen, betrügen
ნესტუვება	Schalmeienklängen zuhören lassen
შეფუვება	aufgehen, sich aufblähen, aufgehen lassen
შეტყუვება	lügen, belügen, betrogen werden
განტყუვება	verleiten
აღბაძვება	nachahmen; reizen, anspornen
განმეძვება	huren
განსიძვება	huren
მარხვება	fasten lassen
გზება	anzünden
აგზება	anzünden, entzünden; anzünden, entzünden
შთაგზება	anzünden, sich entzünden, verbrennen, brennen
აღგზება	anzünden, entzünden
მიზეზება	vorschützen, vorgeben
ამრიზება	zürnen, wütend werden
კოკოზება	schön singen, tirilieren
ნათება	scheinen, leuchten
აღმონათება	heraufleuchten, herausleuchten
კეთება	Gutes tun
განკეთება	verschönern
კუეთება	anstoßen, sich daraufstürzen, zusammenstoßen, rütteln, kämpfen
დაკუეთება	reißen, zerren, stoßen, schleudern, zu Boden schmettern, fallen, vermindern, sündigen
შეკუეთება	angreifen, sich aneignen, gewöhnen
მიმოკუეთება	hin- und herstürzen, rastlos umherlaufen, geschäftig sein
შთაწუეთება	hinabtropfen
შეფეთება	aufstoßen, aufschlagen
განფეთება	aufreißen (Tür)
ნივთება	reden, sprechen, machen
შენივთება	gegen jemanden kämpfen
შემონივთება	sammeln
მაგალითება	ähneln
განწითება	rot werden
შეჴელთება	in die Hände bekommen
ანთება	anzünden; anzünden
მინთება	anzünden
აღნთება	anzünden
შფოთება	erregen, aufstacheln, aufgebracht sein
შეშფოთება	erregt sein, erregen, beunruhigen
აღშფოთება	in Bewegung setzen, durcheinanderbringen, empören
მართება	lenken, anstehen, zustehen
ამართება	aufrichten, aufstellen, aufstehen; aufrichten, aufstellen, aufstehen
დამართება	herabkommen (bis ein Punkt erreicht ist); zielen
შემართება	auf etw. zugehen, sich hinwenden
მიმართება	streben, weggehen, stürzen, sich richten nach
განმართება	begradigen, zurechtrücken, ausrichten, vorbereiten, verfeinern
მომართება	schmücken, bereiten, überfallen, helfen
წარმომართება	mitkommen, herkommen, herschicken, vorangehen, führen, siegen
წარმართება	abreisen; gut vorangehen; lenken; siegen; ebnen
აღმართება	aufrichten, aufstellen, aufstehen
გაფართება	erweitern, verbreiten; erweitern, verbreitern
განფართება	erweitern, verbreitern
შეერთება	vereinigen, sich vereinigen
კირთება	versklaven, als Sklave dienen
აღზჳრთება	aufwogen lassen, durcheinanderbringen
მოჭედიება	beschlagen lassen
დაბეჭდიება	stempeln / versiegeln lassen
ქმნევიება	machen lassen
აღრჩევიება	wählen lassen
თაყუანის-ცემიება	verehren lassen
წერიება	schreiben lassen
დაწერიება	schreiben lassen
ეკლესიება	(sich) versammeln
ეკკლესიება	versammeln
შემოსიება	anziehen lassen
ძიება	untersuchen, erforschen, suchen, erstreben
მოძიება	suchen
გამოძიება	untersuchen, herausfinden, nachforschen, fragen, ermitteln, hervorsuchen
სიტყჳსგამოძიება	diskutieren
გამოქანდაკება	herausmeißeln, darstellen
დავაკება	begradigen, ebnen
შევაკება	auf ebenes Gelände hinaufgelangen
მოავაზაკება	rauben, plündern
დამაკება	trächtig werden
დაბანაკება	Lager aufschlagen, lagern
ანკანაკება	gemeinsam zechen
განსპეტაკება	weiß machen, reinigen; weiß werden, rein werden
გამოსპეტაკება	weiß / rein machen
დამუშაკება	helfen, in Dienst treten
მომუშაკება	bearbeiten
დაგლახაკება	arm machen, verarmen
დამწიკება	besudeln, beschmutzen
შემწიკება	beschmutzen, unrein machen, schänden
ხარკება	bezahlen, dienen, sich mühen, arbeiten, frönen, fürsorgen
განჭაბუკება	jung werden
უბადრუკება	sich quälen
ცუნდრუკება	lästern
მიკაბალება	an sich reißen, sich aneignen
მომთრვალება	sich trunken geben, den Betrunkenen spielen
განრვალება	zu Kupfer werden
ცვალება	ändern, verändern, Platz wechseln
გაცვალება	tauschen, vertauschen, ändern; tauschen, vertauschen, ändern
გარდაცვალება	wechseln, vertauschen
ნაცვალება	wechseln, ändern
მონაცვალება	wechseln, ändern
წაცვალება	sich verschieben
შეცვალება	ändern, verändern, verwandeln, sich verwandeln
მიცვალება	sterben; wechseln
განცვალება	tauschen, vertauschen, ändern
მოცვალება	kommen, herbringen, ändern, tauschen
გამოცვალება	tauschen, vertauschen, ändern
გარდამოცვალება	umwenden
მიმოცვალება	hin- und herbiegen, verändern
განწვალება	teilen, trennen
გარიალება	schmähen
დაშრიალება	zischend angreifen (Schlange)
ტრფიალება	lieben, wollen
მოალება	verbrennen
ბრალება	sich vergehen; beschuldigen, einreden, sich irren
განგულმწყრალება	zornig werden
განმწყრალება	zürnen
წყალება	sich erbarmen, gnädig sein
შეწყალება	sich erbarmen, Mitleid haben
ცალება	Zeit geben, Zeit haben
მიცალება	Zeit haben
მოცალება	Zeit haben, weise sein
ძალება	machen, wirken, zwingen
შთაძალება	zwingen
მოძალება	verstärken, stärken
კრძალება	meiden, sich zurückhalten, warnen
განკრძალება	zurückhaltend sein, vorsichtig sein
დადაბლება	schwächen, schwach werden, belästigen, erniedrigen, unterdrücken, vergewaltigen; schwächen, schwach werden, belästigen, erniedrigen, unterdrücken,
დამდაბლება	schwächen, schwach werden, belästigen, erniedrigen, unterdrücken, vergewaltigen
სიტყჳსმგებლება	antworten, streiten
დაობლება	verwaisen
დაჯოგლება	unbrauchbar werden, verderben, stumpf werden
მიმადლება	schenken, beschenken, begnadigen
მომადლება	schenken, begnadigen
დედლება	schwächen
დადედლება	feige / weibisch machen
განედლება	treiben, sprossen, grün / saftig werden
მოსასყიდლება	einstellen, in Dienst stellen
საზრდელება	füttern, zu essen geben
ცხოველება	leben
განცხოველება	beleben, heilen
აღსაბურველება	herabreißen, aufdecken
განმრთელება	heilen, genesen
დაცარიელება	leeren; leeren
წარმოცარიელება	leeren, herausnehmen; leeren, herausnehmen
განჴორციელება	Fleisch werden
მოსულელება	sich dumm stellen
მსოფლელება	nahe sein, benachbart sein
შუამდგომელება	vermitteln
სასუმელება	adoptieren, als nahestehend betrachten; zu trinken geben
ნელება	beruhigen, besänftigen
დანელება	abkühlen, verringern
დაბნელება	verdunkeln, finster machen / werden; irren, fehlen, Fehler begehen
შებნელება	etwas dämmrig werden
შენელება	würzen, vorbereiten
გასურნელება	wohlriechend machen
შესურნელება	duften lassen, duftend machen
ძნელება	für schwierig halten
განძნელება	erschweren
სუელება	naß werden
ტყუელება	Beifall klatschen
მეტყუელება	sprechen
წინაწარმეტყუელება	prophezeien
წინასწარმეტყუელება	prophezeien; prophezeien
წინაჲსწარმეტყუელება	prophezeien; prophezeien
დიდებისმეტყუელება	preisen, rühmen
ბუნებისმეტყუელება	die Natur erkennen / erforschen
ღმრთისმეტყუელება	als Theologe wirken
მრავლისმეტყუელება	schwätzen
სიბრძნისმეტყუელება	weise reden, philosophieren
განშუელება	trennen, schlichten
დაძუელება	alt werden
განწრფელება	gerade machen, begradigen
განზრქელება	dick werden, grausam werden, schließen
შესქელება	dick werden, stocken
განსარტყელება	absetzen
განვრცელება	verbreiten, sich ausdehnen
დღეგრძელება	lang leben
სულგრძელება	widerstandsfähig / mutig sein
განგრძელება	fortsetzen
მოგრძელება	lang werden, lang wachsen
გახელება	wild machen, zur Raserei bringen
გარდასახელება	umbenennen
ათხელება	verringern, vermindern
გავლება	hindurchstoßen
გარდავლება	vorbeitreffen, verfehlen
განმრავლება	(sich) vermehren, zahlreich machen / werden
სწავლება	lehren
შესწავლება	kennenlernen
მომძევლება	gefangennehmen, gewinnen
სათხევლება	fischen
ყივლება	schreien, rufen
დაყივლება	schreien
განვლება	hindurchstoßen
განთოვლება	zu schneien beginnen
მოვლება	herumführen
გამოვლება	traurig sein / werden
გარემოვლება	herumführen
მიმოვლება	umherführen, herumführen, versprühen
დასოვლება	naß machen
შესოვლება	naß machen
აღსოვლება	naß machen, befeuchten
დაბრჯგუვლება	stumpf werden
აღყუვლება	aufschreien
წიაღვლება	hinüberzugehen zwingen, zum überschreiten zwingen, veranlassen hinüberzugehen
განსაგზლება	mit Wegzehrung fortgehen
აღსაგზლება	Wegzehrung zubereiten
განათლება	erhellen, taufen; erhellen, taufen
განნათლება	erhellen, taufen
გამონათლება	zeigen, sehen lassen
მართლება	zu Recht verurteilen
სამართლება	klagen
დასამართლება	richten
განმართლება	rechtfertigen
გამომართლება	sich rechtfertigen
განწბილება	verlorengehen
სადილება	frühstücken, zu Mittag essen
გამოყუავილება	Blüten treiben
აღყუავილება	zu blühen beginnen
გაადვილება	erleichtern; erleichtern
განადვილება	erleichtern
შვილება	adoptiert werden
ძარღუკუეთილება	Sehnen / Stränge zerschneiden
შებორკილება	fesseln
დაწულილება	dünn machen, verkleinern, zerstückeln
შეწულილება	Not leiden
დამწულილება	dünn machen, verkleinern, zerstückeln; dünn machen, verkleinern,
გულარძნილება	beugen, neigen, verraten, meiden
დამარილება	salzen, salzig werden
შემარილება	einsalzen, pökeln, eingesalzen werden; bestätigen, bekräftigen
შეფარილება	beschmutzen, besudeln
დაგრილება	kühlen, Kühlung finden, abkühlen, beschatten
განგრილება	kühlen, niederbrennen (Feuer)
აღგრილება	kühl werden
დაწურილება	dünn machen, verkleinern,; dünn machen, verkleinern, zerstückeln
მორჩილება	gehorchen, gehorsam sein
დამორჩილება	gehorchen, unterwerfen, sich unterwerfen
მომორჩილება	sich untertan machen
ცილება	lügen, belügen
შეცილება	sich irren, fehlgehen
განძურცილება	entfernen
ნაწილება	teilen
განაწილება	aufteilen, verteilen
განნაწილება	teilen, verteilen
განმრავალწილება	vermehren
მრჩობლწილება	senken
აღხეხილება	erneuern, ewig leben
მხილება	aufdecken, entlarven
კლება	fehlen
დაკლება	vermindern, wegnehmen, abnehmen, abziehen
მოკლება	fehlen, abnehmen, Mangel leiden, vermindern
დამოკლება	schrumpfen
შემოკლება	vermindern, verringern
სულმოკლება	nachlassen, sich ängstigen, enttäuscht sein
მამლება	sich paaren (von Tieren)
წამლება	verzaubern, behexen
გრემლება	blau färben
დამრემლება	zu seiner Gemeinde machen, unterwerfen
ათრთოლება	zu zittern beginnen
დაბკოლება	sich irren; stören; verführen; verärgert werden; sich irren; stören; verführen; verärgert werden
დაპკოლება	sich irren; stören; verführen; verärgert werden
ბრკოლება	hindern, hemmen, irreführen, täuschen; sich irren, straucheln
დაბრკოლება	sich irren; stören; verführen; verärgert werden
შებრკოლება	belästigen, behindern, verführen, sich irren, sich verspäten, zögern
აკუმოლება	betrübt sein / werden
აღკუმოლება	zu rauchen beginnen, rauchen
ქროლება	wehen, stürmen
აყროლება	zu stinken beginnen; zu stinken beginnen
დაყროლება	stinken
შეყროლება	stinken
აღყროლება	zu stinken beginnen
სოლება	naß werden
განსოლება	hineinkeilen
თანაწარმოყოლება	herausbegleiten
თანაწარყოლება	mitgeben
ცოლება	Ehefrau werden
ბრძოლება	kämpfen
დაბრძოლება	verwunden
თანამბრძოლება	im Kampf beistehen
ღმრთისმბრძოლება	gegen Gott kämpfen, Häretiker sein
ძრწოლება	schlottern / beben lassen
ძწოლება	schlottern / beben lassen
მსხუერპლება	Opfer bringen
დაგესლება	rostig werden, verderben
დამოთაულება	schenken, hinzufügen
ჴუებულება	fehlen, mangeln, abnehmen, schwinden
გულება	beabsichtigen, wünschen, erfahren, sich in acht nehmen; begnadigen
მიმოდაგულება	umhersehen, sich umsehen
განგულება	denken, überlegen
ორგულება	heucheln, mißtrauen, verraten
შეორგულება	mißtrauen, bezweifeln, zweifeln
დიდმოქადულება	stolz / hochmütig sein
მოსდულება	pflücken; pflücken
განათეულება	den Zehnt geben
მოათეულება	den Zehnt empfangen / einholen
ბრალეულება	ein Verbrechen begehen
სახლეულება	zusammenleben
დასახლეულება	in Besitz nehmen
მრავალჟამეულება	lang andauern
ანეულება	pflügen
