			აბულაძე
შვა	VERB	შევ	შობა
სადუკ;	NOUN	სადუკ-	
სადუკ	NOUN	სადუკ-	
შვა	VERB	შევ	შობა
აქიმ;	NOUN	აქიმ-	
აქიმ	NOUN	აქიმ-	
შვა	VERB	შევ	შობა
ელიუდ;	NOUN	ელიუდ-	
Mt.1-15		Mt.1-15	
ელიუდ	NOUN	ელიუდ-	
შვა	VERB	შევ	შობა
ელიაზარ;	NOUN	ელიაზარ-	
ელიაზარ	NOUN	ელიაზარ-	
შვა	VERB	შევ	შობა
მატთან;	NOUN	მატთან-	
მატთან	NOUN	მატთან-	
შვა	VERB	შევ	შობა
იაკობ;	NOUN	იაკობ-	
Mt.1-16		Mt.1-16	
იაკობ	NOUN	იაკობ-	
შვა	VERB	შევ	შობა
იოსებ,	NOUN	იოსებ-	
ქმარი	NOUN	ქმარ-	
მარიამისი,	NOUN	მარიამ-	
რომლისაგან	CONJ	რომელ-	
იშვა	VERB	შევ	შობა
იესუ,	NOUN	იესუ	
რომელსა	PRON	რომელ-	
ჰრქჳან	VERB	რქუ	რქუმა
ქრისტე.	NOUN	ქრისტე	
Mt.1-17		Mt.1-17	
ყოველი	PRON	ყოველ-	
ნათესავი	NOUN	ნათესავ-	
აბრაჰამისითგან	NOUN	აბრაჰამ-	
ვიდრე	CONJ	ვიდრე	
დავითისამდე	NOUN	დავით-	
ნათესავი	NOUN	ნათესავ-	
ათოთხმეტ;	NUM	ათოთხმეტ-	
და	CONJ	და	
დავითისითგან	NOUN	დავით-	
ვიდრე	CONJ	ვიდრე	
ტყუენვამდე	NOUN	ტყუენვა	
ბაბილოვნისა	NOUN	ბაბილოვნ-	
ნათესავი	NOUN	ნათესავ-	
ათოთხმეტ;	NUM	ათოთხმეტ-	
და	CONJ	და	
ტყუენვითგან	NOUN	ტყუენვა	
ბაბილოვნისაჲთ	NOUN	ბაბილოვნ-	
ვიდრე	CONJ	ვიდრე	
ქრისტესამდე	NOUN	ქრისტე	
ნათესავი	NOUN	ნათესავ-	
ათოთხმეტ.	NUM	ათოთხმეტ-	
Mt.1-18		Mt.1-18	
ხოლო	CONJ	ხოლო	
იესუ	NOUN	იესუ	
ქრისტეს	NOUN	ქრისტე	
შობაჲ	NOUN	შობა	
ესრეთ	PRON	ესრეთ	
იყო:	VERB	ყოფნა	ყოფა
რამეთუ	CONJ	რამეთუ	
თხოვილ	ADJ	თხოვილ-	
იყო	VERB	ყოფნა	ყოფა
დედაჲ	NOUN	დედა	
მისი	PRON	მის-	
მარიამ	NOUN	მარიამ-	
იოსებისა	NOUN	იოსებ-	
და	CONJ	და	
ვიდრე	CONJ	ვიდრე	
შერთვადმდე	NOUN	შერთვა	
მათა	PRON	მათა	
იპოვა	VERB	პოვ	პოვნა
იგი	PRON	იგი	
მიდგომილ	NOUN	მიდგომილ-	
სულისაგან	NOUN	სულ-	
წმიდისა.	ADJ	წმიდა	
Mt.1-19		Mt.1-19	
ხოლო	CONJ	ხოლო	
იოსებ,	NOUN	იოსებ-	
ქმარი	NOUN	ქმარ-	
ამისი,	PRON	ამის-	
მართალი	ADJ	მართალ-	
იყო	VERB	ყოფნა	ყოფა
და	CONJ	და	
არა	PRT	არა	
უნდა	VERB	ნდ	ნდომა
განმხილებაჲ	NOUN	განმხილება	
მისი,	PRON	იგი	
იზრახა	VERB	ზრახ	ზრახვა
ფარულად	NOUN	ფარულ-	
განტევებაჲ	NOUN	განტევება	
მისი.	PRON	იგი	
Mt.1-20		Mt.1-20	
და	CONJ	და	
ვითარ	CONJ	ვითარ	
იგი	PRON	იგი	
ამას	PRON	ესე	
განიზრახვიდა	VERB	ზრახ	ზრახვა
ოდენ,	ADV	ოდენ	
აჰა,	PRT	აჰა	
ანგელოზი	NOUN	ანგელოზ-	
უფლისაჲ	NOUN	უფალ-	
ჩუენებით	NOUN	ჩუენება	
გამოუჩნდა	VERB	ჩნ	გამოჩენა
მას	PRON	იგი	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
იოსებ,	NOUN	იოსებ-	
ძეო	NOUN	ძე	
დავითისო,	NOUN	დავით-	
ნუ	PRT	ნუ	
გეშინინ	VERB	შინ	შიში
მიყვანებად	NOUN	მიყვანება	
მარიამისა,	NOUN	მარიამ-	
ცოლისა	NOUN	ცოლ-	
შენისა,	PRON	შენ-	
რამეთუ,	CONJ	რამეთუ	
რომელი-იგი	PRON	რომელ-იგი	
მისგან	PRON	იგი	
იშვეს,	VERB	შევ	შობა
სულისაგან	NOUN	სულ-	
წმიდისა	ADJ	წმიდა	
არს.	VERB	არ-ს	არსება, არსობა
Mt.1-21		Mt.1-21	
შვეს	VERB	შევ	შობა
ძე,	NOUN	ძე	
და	CONJ	და	
უწოდიან	VERB	წოდ	წოდება
სახელი	NOUN	სახელ-	
მისი	PRON	მის-	
იესუ,	NOUN	იესუ	
რამეთუ	CONJ	რამეთუ	
მან	PRON	იგი	
იჴსნეს	VERB	ჴსენ	ჴსნა
ერი	NOUN	ერ-	
თჳსი	PRON	თჳს-	
ცოდვათა	NOUN	ცოდვა	
მათთაგან.	PRON	მათ-	
Mt.1-22		Mt.1-22	
ესე	PRON	ესე	
ყოველი	PRON	ყოველ-	
იქმნა,	VERB	ქმენ	ქმნა
რაჲთა	CONJ	რაჲთა	
აღესრულოს	VERB	სრულ	აღსრულება
სიტყუაჲ	NOUN	სიტყუა	
იგი	PRON	იგი	
უფლისაჲ,	NOUN	უფალ-	
პირითა	NOUN	პირ-	
წინაწარმეტყუელისაჲთა	NOUN	წინაწარმეტყუელ-	
თქუმული:	ADJ	თქუმულ-	
Mt.1-23		Mt.1-23	
აჰა,	PRT	აჰა,	
ქალწული	NOUN	ქალწულ-	
მიუდგეს	VERB	დეგ	მიდგომა
და	CONJ	და	
შვეს	VERB	შევ	შობა
ძე,	NOUN	ძე,	
და	CONJ	და	
უწოდიან	VERB	წოდ	წოდება
სახელი	NOUN	სახელ-	
მისი	PRON	მის-	
ემმანუელ,	NOUN	ემმანუელ-	
რომელ	PRON	რომელ-	
არს	VERB	არ-ს	ყოფა
თარგმანებით:	NOUN	თარგმანება	
ჩუენ	PRON	ჩუენ	
თანა	PRT	თანა	
ღმერთი.	NOUN	ღმერთ-	
Mt.1-24		Mt.1-24	
განიღჳძა	VERB	ღჳძ	ღჳძება
იოსებ	NOUN	იოსებ-	
ძილისა	NOUN	ძილ-	
მისგან	PRON	იგი	
და	CONJ	და	
ყო	VERB	ყოფა	ყოფა
ეგრე,	PRON	ეგრე,	
ვითარცა	CONJ	ვითარცა	
უბრძანა	VERB	ბრძან	ბრძანება
მას	PRON	იგი	
ანგელოზმან	NOUN	ანგელოზ-	
უფლისამან,	NOUN	უფალ-	
და	CONJ	და	
წარიყვანა	VERB	ყვან	წარყვანა
ცოლი	NOUN	ცოლ-	
თჳსი.	PRON	თჳს-	
Mt.1-25		Mt.1-25	
და	CONJ	და	
არა	PRT	არა	
იცოდა	VERB	ც	ცოდნა
იგი,	PRON	იგი	
ვიდრემდე	CONJ	ვიდრემდე	
შვა	VERB	შევ	შობა
ძე	NOUN	ძე	
იგი	PRON	იგი	
მისი	PRON	მის-	
პირმშოჲ,	NOUN	პირმშო	
და	CONJ	და	
უწოდა	VERB	წოდ	წოდება
სახელი	NOUN	სახელ-	
მისი	PRON	მის-	
იესუ.	NOUN	იესუ	
Mt.2-1		Mt.2-1	
ხოლო	CONJ	ხოლო	
იესუჲს	NOUN	იესუ	
შობასა	NOUN	შობა	
ბეთლემს	NOUN	ბეთლემ-	
ჰურიასტანისასა,	NOUN	ჰურიასტან-	
დღეთა	NOUN	დღე	
ჰეროდე	NOUN	ჰეროდე	
მეფისათა,	NOUN	მეფე	
აჰა,	PRT	აჰა,	
მოგუნი	NOUN	მოგუი	
აღმოსავალით	NOUN	აღმოსავალ-	
მოვიდეს	VERB	ვიდ	მოსლვა
იერუსალჱმდ	NOUN	იერუსალჱმდ	
და	CONJ	და	
იტყოდეს:	VERB	ტყუ	სიტყუა
Mt.2-2		Mt.2-2	
სადა	PRON	სადა	
არს	VERB	არ-ს	ყოფა
რომელი-იგი	PRON	რომელი-იგი	
იშვა	VERB	შევ	შობა
მეუფე	NOUN	მეუფე	
ჰურიათაჲ?	NOUN	ჰურია	
რამეთუ	CONJ	რამეთუ	
ვიხილეთ	VERB	ხილ	ხილვა
ვარსკულავი	NOUN	ვარსკულავ-	
მისი	PRON	მის-	
აღმოსავალით	NOUN	აღმოსავალ-	
და	CONJ	და	
მოვედით	VERB	ვედ	მოსლვა
თაყუანის-ცემად	NOUN	თაყუანის-ცემა	
მისა.	PRON	იგი	
Mt.2-3		Mt.2-3	
ვითარცა	CONJ	ვითარცა	
ესმა	VERB	სმ	სმენა
ესე	PRON	ესე	
ჰეროდეს	NOUN	ჰეროდე	
მეფესა,	NOUN	მეფე	
შეძრწუნდა,	VERB	ძრწუნ	შეძრწუნება
და	CONJ	და	
ყოველი	PRON	ყოველ-	
იერუსალჱმი	NOUN	იერუსალჱმ-	
მის	PRON	იგი	
თანა.	PRT	თანა.	
Mt.2-4		Mt.2-4	
და	CONJ	და	
შეკრიბნა	VERB	კრიბ	შეკრება
ყოველნი	PRON	ყოველ-	
მღდელთმოძღუარნი	NOUN	მღდელთმოძღუარ-	
და	CONJ	და	
მწიგნობარნი	NOUN	მწიგნობარ-	
ერისანი	NOUN	ერ-	
და	CONJ	და	
იკითხვიდა	VERB	კითხ	კითხვა
მათგან:	PRON	იგი	
სადა	PRON	სადა	
უკუე	PRT	უკუე	
შობად	NOUN	შობა	
არს	VERB	არ-ს	ყოფა
ქრისტე?	NOUN	ქრისტე	
Mt.2-5		Mt.2-5	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
ჰრქუეს	VERB	რქუ	რქუმა
მას:	PRON	იგი	
ბეთლემს	NOUN	ბეთლემ-	
ჰურიასტანისასა.	NOUN	ჰურიასტან-	
რამეთუ	CONJ	რამეთუ	
ესრეთ	PRON	ესრეთ	
წერილ	NOUN	წერილ-	
არს	VERB	არ-ს	ყოფა
წინაწარმეტყუელისა	NOUN	წინაწარმეტყუელ-	
მიერ:	PRT	მიერ:	
Mt.2-6		Mt.2-6	
და	CONJ	და	
შენ,	PRON	შენ,	
ბეთლემ,	NOUN	ბეთლემ-	
ქუეყანაჲ	NOUN	ქუეყანა	
ეგე	PRON	ეგე	
იუდაჲსი,	NOUN	იუდა	
არასადა	PRT	არასადა	
უმრწემეს	NOUN	უმრწემეს-	
ხარ	VERB	ხარ	ყოფა
მთავართა	NOUN	მთავარ-	
შორის	ADV	შორის	
იუდაჲსთა,	NOUN	იუდა	
რამეთუ	CONJ	რამეთუ	
შენგან	PRON	შენ-	
გამოვიდეს	VERB	ვიდ	გამოსლვა
წინამძღუარი,	NOUN	წინამძღუარ-	
რომელმან	PRON	რომელ-	
დამწყსოს	VERB	მწყს	დამწყსა
ერი	NOUN	ერ-	
ჩემი	PRON	ჩემ-	
ისრაჱლი.	NOUN	ისრაჱლ-	
Mt.2-7		Mt.2-7	
მაშინ	ADV	მაშინ	
ჰეროდე	NOUN	ჰეროდე	
იდუმალ	ADJ	იდუმალ	
მოუწოდა	VERB	წოდ	წოდება
მოგუთა	NOUN	მოგუ	
მათ	PRON	მათ	
და	CONJ	და	
გამოიკითხა	VERB	კითხ	კითხვა
მათგან	PRON	მათ-	
ჟამი	NOUN	ჟამ-	
იგი	PRON	იგი	
გამოჩინებულისა	ADJ	გამოჩინებულ-	
მის	PRON	იგი	
ვარსკულავისაჲ.	NOUN	ვარსკულავ-	
Mt.2-8		Mt.2-8	
და	CONJ	და	
წარავლინნა	VERB	ვლინ	წარვლინება
იგინი	PRON	იგი	
ბეთლემდ	NOUN	ბეთლემ-	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
მივედით	VERB	ვედ	მისლვა
და	CONJ	და	
გამოიკითხეთ	VERB	კითხ	კითხვა
ჭეშმარიტად	ADJ	ჭეშმარიტად	
ყრმისა	NOUN	ყრმა	
მისთჳს	PRON	იგი	
და,	CONJ	და,	
რაჟამს	ADV	რაჟამს	
ჰპოოთ	VERB	პო	პოვნა
იგი,	PRON	იგი,	
მითხართ	VERB	თხარ	თქუმა
მე,	PRON	მე,	
რაჲთა	CONJ	რაჲთა	
მეცა	PRON	მე	
მივიდე	VERB	ვიდ	მისლვა
და	CONJ	და	
თაყუანის-ვსცე	VERB	თაყუანის-ცემა	თაყუანის-ცემა
მას.	PRON	იგი	
Mt.2-9		Mt.2-9	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
ვითარცა	CONJ	ვითარცა	
ესმა	VERB	სმ	სმენა
ესე	PRON	ესე	
მეფისა	NOUN	მეფე	
მისგან,	PRON	იგი	
წარვიდეს.	VERB	ვიდ	წარსლვა
და,	CONJ	და,	
აჰა,	PRT	აჰა,	
ვარსკულავი	NOUN	ვარსკულავ-	
იგი,	PRON	იგი,	
რომელი	PRON	რომელ-	
იხილეს	VERB	ხილ	ხილვა
აღმოსავალით,	NOUN	აღმოსავალ-	
წინაუძღოდა	VERB	ძღ	წინა-ძღოლა
მათ,	PRON	მათ,	
ვიდრემდე	CONJ	ვიდრემდე	
მოვიდა	VERB	ვიდ	მოსლვა
და	CONJ	და	
დაადგრა	VERB	დგერ	დადგრომა
ადგილსა	NOUN	ადგილ-	
მას,	PRON	იგი	
რომელსა	PRON	რომელ-	
იყო	VERB	ყოფნა	ყოფა
ყრმაჲ	NOUN	ყრმა	
იგი.	PRON	იგი.	
Mt.2-10		Mt.2-10	
ხოლო	CONJ	ხოლო	
მათ	PRON	მათ	
ვითარცა	CONJ	ვითარცა	
იხილეს	VERB	ხილ	ხილვა
ვარსკულავი	NOUN	ვარსკულავ-	
იგი,	PRON	იგი,	
განიხარეს	VERB	ხარ	განხარება
სიხარულითა	NOUN	სიხარულ-	
დიდითა	ADJ	დიდ-	
ფრიად.	ADV	ფრიად.	
Mt.2-11		Mt.2-11	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
შევიდეს	VERB	ვიდ	შესლვა
სახლსა	NOUN	სახლ-	
მას,	PRON	იგი	
იხილეს	VERB	ხილ	ხილვა
ყრმაჲ	NOUN	ყრმა	
იგი	PRON	იგი	
მარიამის	NOUN	მარიამ-	
თანა,	PRT	თანა,	
დედისა	NOUN	დედა	
თჳსისა,	PRON	თჳს-	
და	CONJ	და	
დავარდეს	VERB	ვარდ	დავარდნა
და	CONJ	და	
თაყუანის-სცეს	VERB	თაყუანის-ცემა	თაყუანის-ცემა
მას;	PRON	იგი	
და	CONJ	და	
აღაღეს	VERB	ღ	აღღება
საუნჯეთა	NOUN	საუნჯე	
მათთა	PRON	მათ-	
და	CONJ	და	
შეწირეს	VERB	წირ	შეწირვა
მისა	PRON	იგი	
ძღუენი:	NOUN	ძღუენ-	
ოქროჲ,	NOUN	ოქრო	
გუნდრუკი	NOUN	გუნდრუკ-	
და	CONJ	და	
მური.	NOUN	მურ-	
Mt.2-12		Mt.2-12	
და	CONJ	და	
მოიღეს	VERB	ღ	მოღება
ბრძანებაჲ	NOUN	ბრძანება	
ჩუენებით,	NOUN	ჩუენება	
რაჲთა	CONJ	რაჲთა	
არა	PRT	არა	
მიაქციონ	VERB	ქც	მიქცევა
ჰეროდესა,	NOUN	ჰეროდე	
არამედ	CONJ	არამედ	
სხჳთ	ADJ	სხუა	
გზით	NOUN	გზა	
წარვიდენ	VERB	ვიდ	წარსლვა
სოფლად	NOUN	სოფელ-	
თჳსა.	PRON	თჳს-	
Mt.2-13		Mt.2-13	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
განეშორნეს	VERB	შორ	განშორება
იგინი,	PRON	იგი	
აჰა,	PRT	აჰა,	
ანგელოზი	NOUN	ანგელოზ-	
უფლისაჲ	NOUN	უფალ-	
გამოუჩნდა	VERB	ჩნ	გამოჩენა
ჩუენებით	NOUN	ჩუენება	
იოსებს	NOUN	იოსებ-	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
აღდეგ	VERB	დეგ	აღდგომა
და	CONJ	და	
წარიყვანე	VERB	ყვან	წარყვანა
ყრმაჲ	NOUN	ყრმა	
ეგე	PRON	ეგე	
და	CONJ	და	
დედაჲ	NOUN	დედა	
მაგისი	PRON	ეგე	
და	CONJ	და	
ივლტოდე	VERB	ლტ	ვლტოლა
ეგჳპტედ	NOUN	ეგჳპტე	
და	CONJ	და	
იყავ	VERB	ყოფნა	ყოფა
მუნ,	ADV	მუნ,	
ვიდრემდე	CONJ	ვიდრემდე	
გრქუა	VERB	რქუ	რქუმა
შენ,	PRON	შენ,	
რამეთუ	CONJ	რამეთუ	
ეგულების	VERB	გულ	გულება
ჰეროდეს	NOUN	ჰეროდე	
მოძიებად	NOUN	მოძიება	
ყრმისა	NOUN	ყრმა	
მაგის	PRON	ეგე	
და	CONJ	და	
წარწყმედად	NOUN	წარწყმედა	
ეგე.	PRON	ეგე.	
Mt.2-14		Mt.2-14	
ხოლო	CONJ	ხოლო	
იგი	PRON	იგი	
აღდგა	VERB	დეგ	აღდგომა
და	CONJ	და	
წარიყვანა	VERB	ყვან	წარყვანა
ყრმაჲ	NOUN	ყრმა	
იგი	PRON	იგი	
და	CONJ	და	
დედაჲ	NOUN	დედა	
მისი	PRON	მის-	
ღამე,	NOUN	ღამე,	
და	CONJ	და	
წარვიდა	VERB	ვიდ	წარსლვა
ეგჳპტედ	NOUN	ეგჳპტე	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
მუნ	ADV	მუნ	
ვიდრე	CONJ	ვიდრე	
აღსრულებადმდე	NOUN	აღსრულება	
ჰეროდესა,	NOUN	ჰეროდე	
Mt.2-15		Mt.2-15	
რაჲთა	CONJ	რაჲთა	
აღესრულოს	VERB	სრულ	აღსრულება
სიტყუაჲ	NOUN	სიტყუა	
იგი	PRON	იგი	
უფლისაჲ,	NOUN	უფალ-	
თქუმული	NOUN	თქუმულ-	
წინაწარმეტყუელისა	NOUN	წინაწარმეტყუელ-	
მიერ:	PRT	მიერ:	
ეგჳპტით	NOUN	ეგჳპტე	
უწოდე	VERB	წოდ	წოდება
ძესა	NOUN	ძე	
ჩემსა.	PRON	ჩემ-	
Mt.2-16		Mt.2-16	
მაშინ	ADV	მაშინ	
ვითარცა	CONJ	ვითარცა	
იხილა	VERB	ხილ	ხილვა
ჰეროდე,	NOUN	ჰეროდე,	
რამეთუ	CONJ	რამეთუ	
მოიკიცხა	VERB	კიცხ	მოკიცხება
მოგუთა	NOUN	მოგუ	
მათგან,	PRON	მათ-	
განრისხნა	VERB	რისხ	განრისხება
ფრიად,	ADV	ფრიად,	
წარავლინნა	VERB	ვლინ	წარვლინება
და	CONJ	და	
მოსწყჳდა	VERB	წყჳდ	მოწყუედა
ყოველი	PRON	ყოველ-	
ყრმები,	NOUN	ყრმა	
რომელნი	PRON	რომელ-	
იყვნეს	VERB	ყოფნა	ყოფა
ბეთლემს	NOUN	ბეთლემ-	
და	CONJ	და	
ყოველთა	PRON	ყოველ-	
საზღვართა	NOUN	საზღვარ-	
მისთა	PRON	მის-	
ორით	NUM	ორ-	
წლითგანი	NOUN	წელ-	
და	CONJ	და	
უდარესი,	ADJ	უდარეს-	
მსგავსად	NOUN	მსგავს-	
მის	PRON	იგი	
ჟამისა,	NOUN	ჟამ-	
ვითარცა	CONJ	ვითარცა	
გამოიკითხა	VERB	კითხ	კითხვა
მოგუთა	NOUN	მოგუ	
მათგან.	PRON	მათ-	
Mt.2-17		Mt.2-17	
მაშინ	ADV	მაშინ	
აღესრულა	VERB	სრულ	აღსრულება
თქუმული	NOUN	თქუმულ-	
იგი	PRON	იგი	
იერემია	NOUN	იერემია	
წინაწარმეტყუელისაჲ,	NOUN	წინაწარმეტყუელ-	
რომელსა	PRON	რომელ-	
იტყჳს:	VERB	ტყუ	სიტყუა
Mt.2-18		Mt.2-18	
ჴმაჲ	NOUN	ჴმა	
ჰრამაჲთ	NOUN	ჰრამა	
ისმა	VERB	სმ	სმენა
გოდებისა	NOUN	გოდება	
და	CONJ	და	
ტირილისაჲ	NOUN	ტირილ-	
და	CONJ	და	
ტყებისაჲ	NOUN	ტყება	
მრავალი;	ADJ	მრავალ-	
რაქელ	NOUN	რაქელ-	
სტიროდა	VERB	ტირ	ტირილი
შვილთა	NOUN	შვილ-	
თჳსთა	PRON	თჳს-	
და	CONJ	და	
არა	PRT	არა	
უნდა	VERB	უნდა	ნდომა
ნუგეშინის-ცემის,	NOUN	ნუგეშინის-ცემა	
რამეთუ	CONJ	რამეთუ	
არა	PRT	არა	
არიან.	VERB	არ-ს	ყოფა
Mt.2-19		Mt.2-19	
ხოლო	CONJ	ხოლო	
რაჟამს	ADV	რაჟამს	
აღესრულა	VERB	სრულ	აღსრულება
ჰეროდე,	NOUN	ჰეროდე,	
აჰა,	PRT	აჰა,	
ანგელოზი	NOUN	ანგელოზ-	
უფლისაჲ	NOUN	უფალ-	
გამოეცხადა	VERB	ცხად	გამოცხადება
ჩუენებით	NOUN	ჩუენება	
იოსებს	NOUN	იოსებ-	
ეგჳპტეს	NOUN	ეგჳპტე	
Mt.2-20		Mt.2-20	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
აღდეგ	VERB	დეგ	აღდგომა
და	CONJ	და	
წარიყვანე	VERB	ყვან	წარყვანა
ყრმაჲ	NOUN	ყრმა	
ეგე	PRON	ეგე	
და	CONJ	და	
დედაჲ	NOUN	დედა	
მაგისი	PRON	ეგე	
და	CONJ	და	
წარვედ	VERB	ვედ	წარსლვა
ქუეყანად	NOUN	ქუეყანა	
ისრაჱლისა,	NOUN	ისრაჱლ-	
რამეთუ	CONJ	რამეთუ	
მოსწყდეს,	VERB	წყდ	მოწყუედა
რომელნი	PRON	რომელ-	
ეძიებდეს	VERB	ძი	ძიება
სულსა	NOUN	სულ-	
მაგის	PRON	ეგე	
ყრმისასა.	NOUN	ყრმა	
Mt.2-21		Mt.2-21	
ხოლო	CONJ	ხოლო	
იგი	PRON	იგი	
აღდგა	VERB	დეგ	აღდგომა
და	CONJ	და	
წარმოიყვანა	VERB	ყვან	წარმოყვანა
ყრმაჲ	NOUN	ყრმა	
იგი	PRON	იგი	
და	CONJ	და	
დედაჲ	NOUN	დედა	
მისი	PRON	მის-	
და	CONJ	და	
მოვიდა	VERB	ვიდ	მოსლვა
ქუეყანად	NOUN	ქუეყანა	
ისრაჱლისა.	NOUN	ისრაჱლ-	
Mt.2-22		Mt.2-22	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
ესმა,	VERB	სმ	სმენა
რამეთუ	CONJ	რამეთუ	
